PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,FT AST,SECONDARY AST,POTENTIAL AST,AST PTS,AST ADJ,AST TO PASS%,AST TO PASS%ÊADJ
Russell Westbrook,OKC,28,16,12,985,1691,2139,305,33,35,560,698,374,18,22.1
Chris Paul,LAC,29,21,8,921,1971,2161,282,29,44,495,653,356,14.3,18.1
Kyle Lowry,TOR,26,19,7,965,1633,1823,193,28,39,350,458,260,11.8,15.9
James Harden,HOU,29,21,8,1067,1940,2386,338,27,51,626,820,416,17.4,21.4
John Wall,WAS,25,12,13,906,1464,1898,242,23,38,455,561,302,16.5,20.6
Elfrid Payton,ORL,30,13,17,861,1548,1793,169,23,41,362,396,233,10.9,15.1
Damian Lillard,POR,30,13,17,1068,1854,2298,183,23,50,365,440,256,9.9,13.8
Kemba Walker,CHA,28,16,12,938,1646,2019,154,21,43,325,384,217,9.4,13.2
LeBron James,CLE,24,20,4,894,1416,1691,215,19,31,406,563,264,15.2,18.6
Jeff Teague,IND,30,15,15,963,1666,1957,218,18,43,438,511,279,13.1,16.7
Nicolas Batum,CHA,28,15,13,968,1288,1234,157,18,27,280,357,202,12.2,15.7
Matthew Dellavedova,MIL,25,12,13,708,1195,1236,139,18,31,269,306,188,11.6,15.7
Mason Plumlee,POR,30,13,17,834,1173,1005,131,17,15,251,311,163,11.2,13.9
Sergio Rodriguez,PHI,27,6,21,737,1794,1954,171,17,34,356,406,222,9.5,12.4
Rajon Rondo,CHI,22,11,11,683,1543,1481,162,17,26,300,360,205,10.5,13.3
Brandon Jennings,NYK,28,15,13,666,1351,1490,148,16,28,320,353,191,11,14.1
Dennis Schroder,ATL,27,13,14,828,1500,1853,171,16,48,347,403,237,11.4,15.8
Draymond Green,GSW,28,24,4,917,1728,1337,202,16,40,372,482,257,11.7,14.9
TJ McConnell,PHI,28,7,21,544,1490,1495,134,15,22,284,329,171,9,11.5
Emmanuel Mudiay,DEN,28,12,16,830,1428,1709,106,14,36,206,242,156,7.4,10.9
Devin Booker,PHX,27,8,19,891,859,1299,79,14,15,164,202,108,9.2,12.6
Kevin Durant,GSW,29,25,4,986,1093,1211,132,13,30,235,333,175,12.1,16
Giannis Antetokounmpo,MIL,25,12,13,875,1409,1437,148,13,26,279,365,187,10.5,13.3
Stephen Curry,GSW,29,25,4,958,1494,1776,169,13,68,313,396,251,11.3,16.8
Marc Gasol,MEM,27,18,9,912,1350,1518,112,13,19,234,283,145,8.3,10.7
Tim Frazier,NOP,29,9,20,883,1790,1881,215,13,34,414,487,262,12,14.6
Ricky Rubio,MIN,22,6,16,692,1407,1425,151,13,39,294,346,203,10.7,14.4
Eric Bledsoe,PHX,28,8,20,906,1774,2014,148,12,32,317,358,192,8.3,10.8
Beno Udrih,DET,23,12,11,367,740,832,74,12,19,143,176,106,10,14.3
D.J. Augustin,ORL,30,13,17,620,1069,1291,92,12,21,175,223,125,8.6,11.7
Andrew Wiggins,MIN,27,8,19,993,705,1033,64,12,16,133,163,92,9.1,13
Evan Fournier,ORL,30,13,17,999,897,1196,104,12,21,203,238,136,11.6,15.2
Karl-Anthony Towns,MIN,27,8,19,955,1340,1152,64,11,16,129,147,91,4.8,6.8
Dante Exum,UTA,27,16,11,568,708,790,44,11,10,87,107,64,6.2,9
Julius Randle,LAL,28,10,18,804,1166,990,94,11,15,198,250,120,8.1,10.3
Goran Dragic,MIA,24,8,16,824,1408,1685,160,11,30,304,388,201,11.4,14.3
Shelvin Mack,UTA,28,17,11,627,1162,1278,88,10,14,171,214,112,7.6,9.6
Ty Lawson,SAC,28,11,17,706,1275,1399,127,10,28,256,303,165,10,12.9
CJ McCollum,POR,30,13,17,1027,1203,1581,109,10,31,221,275,151,9.1,12.6
Mike Conley,MEM,19,11,8,611,1147,1392,111,10,38,248,266,159,9.7,13.9
Malcolm Brogdon,MIL,25,12,13,540,931,976,77,10,18,151,187,105,8.3,11.3
Deron Williams,DAL,20,5,15,608,1288,1479,133,10,25,247,324,167,10.3,13
Darren Collison,SAC,20,8,12,604,1099,1260,90,10,28,204,221,129,8.2,11.7
Jabari Parker,MIL,25,12,13,823,921,924,52,10,12,120,134,74,5.6,8
Sean Kilpatrick,BKN,23,6,17,644,821,968,65,10,19,144,169,94,7.9,11.4
Kyrie Irving,CLE,24,19,5,832,1223,1554,120,10,34,236,296,164,9.8,13.4
James Johnson,MIA,25,9,16,611,887,755,56,9,6,128,138,71,6.3,8
Paul George,IND,23,12,11,819,841,962,71,9,14,134,166,94,8.4,11.2
Monta Ellis,IND,24,12,12,753,807,885,89,9,29,186,219,127,11,15.7
Jrue Holiday,NOP,15,8,7,450,845,968,93,9,13,185,223,116,11,13.7
Ish Smith,DET,29,14,15,779,1592,1744,170,9,27,315,402,206,10.7,12.9
Andrew Harrison,MEM,28,17,11,751,1236,1376,100,9,28,251,244,136,8.1,11
Brandon Knight,PHX,28,8,20,678,952,1232,81,9,10,166,202,100,8.5,10.5
E'Twaun Moore,NOP,26,9,17,663,612,766,75,8,7,131,182,89,12.3,14.5
Kawhi Leonard,SAS,28,23,5,934,867,1170,85,8,25,158,214,118,9.8,13.6
David Lee,SAS,28,23,5,488,752,527,42,8,11,72,107,61,5.6,8.1
Aaron Gordon,ORL,30,13,17,783,676,725,52,8,16,105,125,76,7.7,11.2
Patrick Beverley,HOU,18,15,3,550,695,677,82,8,18,162,214,109,11.8,15.7
Marcus Morris,DET,29,14,15,926,968,881,52,8,7,100,117,67,5.4,6.9
DeMarcus Cousins,SAC,27,11,16,938,1270,1447,89,8,20,183,221,117,7,9.2
Cory Joseph,TOR,25,18,7,540,878,944,67,8,18,149,169,92,7.6,10.5
Victor Oladipo,OKC,24,15,9,822,776,930,66,8,9,120,162,83,8.5,10.7
Semaj Christon,OKC,27,16,11,405,728,764,65,8,11,135,156,84,8.9,11.5
Boris Diaw,UTA,19,11,8,400,618,575,43,8,8,95,105,59,7,9.5
Jameer Nelson,DEN,29,12,17,742,1218,1373,124,8,29,256,309,161,10.2,13.2
DeMar DeRozan,TOR,26,19,7,919,833,1323,108,8,26,215,275,142,13,17
Solomon Hill,NOP,28,10,18,780,682,620,55,8,14,100,129,77,8.1,11.3
Jamal Crawford,LAC,29,21,8,728,732,948,63,8,19,130,154,90,8.6,12.3
Ramon Sessions,CHA,29,16,13,477,781,911,87,8,27,179,198,122,11.1,15.6
Anthony Davis,NOP,28,10,18,1046,1348,1393,61,8,23,124,150,92,4.5,6.8
Brook Lopez,BKN,22,6,16,640,669,814,61,8,6,108,145,75,9.1,11.2
Allen Crabbe,POR,30,13,17,833,635,637,36,7,9,67,90,51,5.7,8
Jordan Clarkson,LAL,31,11,20,888,770,1053,71,7,9,148,164,87,9.2,11.3
Thabo Sefolosha,ATL,24,12,12,620,692,600,45,7,17,84,116,69,6.5,10
Zach LaVine,MIN,26,7,19,985,1037,1316,83,7,12,164,189,102,8,9.8
Derrick Rose,NYK,24,14,10,749,1340,1618,108,7,32,223,269,147,8.1,11
Joe Johnson,UTA,28,17,11,678,684,706,54,7,16,104,136,77,7.9,11.3
D'Angelo Russell,LAL,18,8,10,460,805,961,81,7,14,164,204,102,10.1,12.7
Jimmy Butler,CHI,26,13,13,947,1072,1360,113,7,19,242,262,140,10.5,13.1
Andre Iguodala,GSW,28,25,3,691,776,714,96,7,34,165,229,138,12.4,17.8
Al Horford,BOS,18,11,7,594,945,913,95,7,12,174,229,114,10.1,12.1
Pau Gasol,SAS,27,22,5,711,1205,948,74,7,8,122,171,89,6.1,7.4
Evan Turner,POR,29,13,16,724,961,901,87,7,14,165,204,108,9.1,11.2
Gordon Hayward,UTA,21,14,7,735,925,1125,77,7,13,143,198,97,8.3,10.5
Courtney Lee,NYK,26,13,13,797,788,889,48,7,15,95,116,70,6.1,8.9
Joakim Noah,NYK,24,11,13,517,931,552,62,7,12,104,146,81,6.7,8.7
Dwyane Wade,CHI,24,12,12,746,828,1136,87,7,17,165,203,111,10.5,13.4
Paul Millsap,ATL,24,13,11,801,1104,1106,86,7,13,189,208,105,7.8,9.5
Thaddeus Young,IND,30,15,15,927,1226,936,42,7,14,91,101,63,3.4,5.1
Isaiah Whitehead,BKN,19,4,15,455,667,721,61,7,12,109,155,80,9.1,12
Tony Allen,MEM,22,13,9,603,482,426,20,7,9,42,49,36,4.1,7.5
Trevor Booker,BKN,22,6,16,633,1137,792,57,7,10,115,152,74,5,6.5
Iman Shumpert,CLE,25,19,6,574,536,554,45,6,9,83,112,60,8.4,11.2
Justise Winslow,MIA,13,3,10,451,529,516,44,6,8,83,105,57,8.3,10.8
Manu Ginobili,SAS,24,19,5,464,597,670,61,6,20,108,148,87,10.2,14.6
Nikola Vucevic,ORL,27,12,15,754,1301,1024,68,6,11,156,175,86,5.2,6.6
Marco Belinelli,CHA,29,16,13,749,590,703,52,6,15,112,120,74,8.8,12.5
Avery Bradley,BOS,28,16,12,990,1086,1170,72,6,27,163,175,104,6.6,9.6
Dario Saric,PHI,28,7,21,664,1060,965,47,6,15,94,117,68,4.4,6.4
Eric Gordon,HOU,29,21,8,892,660,940,81,6,10,149,194,96,12.3,14.5
Dorian Finney-Smith,DAL,27,7,20,594,555,484,27,6,6,58,74,39,4.9,7
Kyle Korver,ATL,25,11,14,706,619,567,56,6,13,90,123,75,9,12.1
Lou Williams,LAL,31,11,20,781,906,1264,107,6,23,167,241,136,11.8,15
PJ Tucker,PHX,28,8,20,740,769,584,30,6,15,63,76,50,3.9,6.5
Blake Griffin,LAC,26,19,7,875,1505,1466,123,6,14,214,298,142,8.2,9.4
Mike Muscala,ATL,27,13,14,577,743,576,41,6,15,79,103,61,5.5,8.2
Will Barton,DEN,17,8,9,522,516,623,40,6,12,95,101,58,7.8,11.2
Jusuf Nurkic,DEN,27,11,16,544,873,699,37,6,8,74,86,50,4.2,5.7
Spencer Hawes,CHA,22,12,10,366,483,443,36,6,6,65,81,48,7.5,9.9
Isaiah Thomas,BOS,24,15,9,800,1442,1915,144,6,40,290,354,191,10,13.2
Kris Dunn,MIN,27,8,19,462,835,858,68,5,15,138,163,88,8.1,10.5
Stanley Johnson,DET,25,12,13,353,356,332,24,5,7,47,58,36,6.7,10.1
Kent Bazemore,ATL,25,11,14,679,696,801,68,5,21,104,156,94,9.8,13.5
