PLAYER,TEAM,GP,W,L,MIN,REB,CONTESTEDREB,UNCONTESTEDREB,CONTESTEDREB%,REBCHANCES,REBCHANCE%,DEFERREDREBCHANCES,ADJUSTEDREBCHANCE%,AVGREBDIST
Zaza Pachulia,GSW,35,30,5,651,202,94,105,46.5,404,50,79,62.2,5
Zach Randolph,MEM,34,21,13,793,269,99,169,36.8,441,61,61,70.8,4.5
Zach LaVine,MIN,33,9,24,1233,114,20,94,17.5,193,59.1,49,79.2,9.1
Yogi Ferrell,BKN,9,1,8,137,11,2,9,18.2,21,52.4,5,68.8,12.6
Wilson Chandler,DEN,32,12,20,1005,223,78,143,35,359,62.1,70,77.2,5.5
Willie Reed,MIA,30,10,20,414,148,69,78,46.6,252,58.7,31,67,4.2
Willie Cauley-Stein,SAC,28,13,15,312,61,26,35,42.6,133,45.9,22,55,5.4
Will Barton,DEN,23,9,14,655,104,24,81,23.1,202,51.5,47,67.1,7.6
Wesley Matthews,DAL,35,11,24,1252,105,19,88,18.1,205,51.2,40,63.6,9.3
Wesley Johnson,LAC,35,22,13,474,116,25,90,21.6,197,58.9,39,73.4,6.4
Wayne Ellington,MIA,19,5,14,483,30,4,27,13.3,67,44.8,18,61.2,10.1
Wade Baldwin IV,MEM,22,14,8,282,31,8,23,25.8,65,47.7,18,66,9.5
Vince Carter,MEM,34,19,15,799,114,25,89,21.9,197,57.9,50,77.6,7.3
Victor Oladipo,OKC,30,17,13,1017,130,31,99,23.8,245,53.1,58,69.5,8.9
Udonis Haslem,MIA,11,3,8,107,28,11,17,39.3,61,45.9,12,57.1,5.4
Tyus Jones,MIN,20,6,14,217,26,1,25,3.8,39,66.7,9,86.7,12.8
Tyson Chandler,PHX,28,7,21,758,320,121,199,37.8,536,59.7,75,69.4,4.1
Tyreke Evans,NOP,9,5,4,150,30,11,19,36.7,49,61.2,10,76.9,7.2
Tyler Zeller,BOS,26,14,12,306,75,34,41,45.3,165,45.5,23,52.8,5.6
Tyler Ulis,PHX,23,4,19,212,15,1,14,6.7,29,51.7,6,65.2,13.4
Tyler Johnson,MIA,35,11,24,1073,161,39,122,24.2,322,50,86,68.2,8.5
Tyler Ennis,HOU,20,14,6,146,13,3,10,23.1,32,40.6,11,61.9,6.5
Ty Lawson,SAC,34,15,19,881,94,21,75,22.3,153,61.4,27,74.6,10.6
Troy Williams,MEM,23,15,8,409,44,10,34,22.7,73,60.3,12,72.1,6.1
Troy Daniels,MEM,30,16,14,602,47,17,30,36.2,118,39.8,34,56,7.6
Tristan Thompson,CLE,33,26,7,959,330,141,191,42.7,647,51,111,61.6,5.1
Trey Lyles,UTA,38,22,16,757,146,41,105,28.1,294,49.7,76,67,5.6
Trey Burke,WAS,32,16,16,389,17,3,15,17.6,50,34,16,50,11.1
Trevor Booker,BKN,31,7,24,857,288,97,193,33.7,510,56.5,72,65.8,4.8
Trevor Ariza,HOU,39,29,10,1338,207,48,158,23.2,318,65.1,66,82.1,7.2
Treveon Graham,CHA,12,6,6,77,8,0,8,0,22,36.4,7,53.3,4.2
Tony Snell,MIL,32,18,14,946,116,22,93,19,196,59.2,36,72.5,8.7
Tony Parker,SAS,29,24,5,736,59,5,54,8.5,115,51.3,27,67,11.9
Tony Allen,MEM,35,20,15,975,188,77,113,41,378,49.7,60,59.1,6.7
Toney Douglas,MEM,6,5,1,107,16,5,11,31.3,27,59.3,8,84.2,10.7
Tomas Satoransky,WAS,20,8,12,296,29,7,22,24.1,83,34.9,26,50.9,8.2
Tobias Harris,DET,37,16,21,1202,177,39,138,22,326,54.3,82,72.5,5.9
Timothe Luwawu-Cabarrot,PHI,21,6,15,179,24,5,19,20.8,54,44.4,15,61.5,5
Timofey Mozgov,LAL,40,13,27,854,194,92,103,47.4,429,45.2,87,56.7,4.7
Tim Quarterman,POR,12,4,8,39,6,3,3,50,8,75,1,85.7,4.1
Tim Frazier,NOP,31,10,21,890,105,26,78,24.8,253,41.5,66,56.1,7.6
Thon Maker,MIL,16,10,6,72,18,5,13,27.8,27,66.7,1,69.2,6.9
Thomas Robinson,LAL,28,8,20,331,133,62,71,46.6,227,58.6,31,67.9,4.3
Thaddeus Young,IND,35,19,16,1087,216,72,144,33.3,437,49.4,71,59,6.5
Terry Rozier,BOS,34,20,14,586,107,25,82,23.4,195,54.9,44,70.9,6.6
Terrence Ross,TOR,34,22,12,742,80,21,59,26.3,152,52.6,39,70.8,6.4
Terrence Jones,NOP,34,12,22,827,197,73,124,37.1,365,54,68,66.3,5.4
Tarik Black,LAL,29,12,17,426,148,66,82,44.6,278,53.2,42,62.7,4.4
Taj Gibson,CHI,36,18,18,983,249,110,137,44.2,493,50.5,98,63,5.5
TJ Warren,PHX,25,8,17,726,99,44,55,44.4,201,49.3,44,63.1,8
TJ McConnell,PHI,34,11,23,749,93,15,77,16.1,175,53.1,41,69.4,10.5
Steven Adams,OKC,38,22,16,1146,282,134,148,47.5,575,49,111,60.8,4.6
Steve Novak,MIL,8,6,2,22,3,0,3,0,6,50,2,75,6.6
Stephen Zimmerman,ORL,6,2,4,29,13,6,7,46.2,22,59.1,3,68.4,6
Stephen Curry,GSW,38,32,6,1273,158,39,119,24.7,297,53.2,66,68.4,9.5
