PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Aaron Brooks,MIN,33,26,7,20.40%,5,10,50,75,2.00%,0,1,0,18.40%,5,9,55.6
Aaron Gordon,ORL,22,39,39,33.50%,71,185,38.4,54.9,4.90%,10,27,37,28.60%,61,158,38.6
Abdel Nader,BOS,24,27,18,54.10%,14,40,35,51.3,2.70%,1,2,50,51.40%,13,38,34.2
Adreian Payne,ORL,26,5,3,50.00%,3,5,60,80,20.00%,1,2,50,30.00%,2,3,66.7
Al Horford,BOS,31,50,49,38.10%,83,190,43.7,60.3,8.60%,20,43,46.5,29.50%,63,147,42.9
Al Jefferson,IND,33,28,21,25.70%,15,35,42.9,42.9,25.70%,15,35,42.9,0.00%,0,0,-
Al-Farouq Aminu,POR,27,44,44,54.80%,80,200,40,59.8,1.10%,1,4,25,53.70%,79,196,40.3
Alec Burks,UTA,26,50,39,19.90%,21,69,30.4,45.7,0.60%,0,2,0,19.30%,21,67,31.3
Alec Peters,PHX,22,9,8,79.20%,3,19,15.8,23.7,0.00%,0,0,-,79.20%,3,19,15.8
Alex Abrines,OKC,24,49,38,74.10%,58,143,40.6,60.5,4.10%,1,8,12.5,69.90%,57,135,42.2
Alex Caruso,LAL,23,24,11,23.20%,4,13,30.8,42.3,5.40%,1,3,33.3,17.90%,3,10,30
Alex Len,PHX,24,47,13,6.90%,4,15,26.7,26.7,6.90%,4,15,26.7,0.00%,0,0,-
Alex Poythress,IND,24,21,7,42.90%,3,9,33.3,50,4.80%,0,1,0,38.10%,3,8,37.5
Alfonzo McKinnie,TOR,25,11,5,50.00%,1,6,16.7,25,0.00%,0,0,-,50.00%,1,6,16.7
Allen Crabbe,BKN,25,51,51,59.00%,120,308,39,58,2.50%,3,13,23.1,56.50%,117,295,39.7
Amir Johnson,PHI,30,50,14,11.10%,5,17,29.4,41.2,2.00%,1,3,33.3,9.20%,4,14,28.6
Andre Drummond,DET,24,53,8,1.50%,1,8,12.5,12.5,1.10%,1,6,16.7,0.40%,0,2,0
Andre Iguodala,GSW,34,47,35,32.70%,18,71,25.4,33.8,5.50%,6,12,50,27.20%,12,59,20.3
Andre Roberson,OKC,26,37,21,24.80%,8,35,22.9,34.3,0.70%,0,1,0,24.10%,8,34,23.5
Andrew Bogut,LAL,33,23,3,12.50%,2,3,66.7,66.7,12.50%,2,3,66.7,0.00%,0,0,-
Andrew Harrison,MEM,23,47,37,24.40%,26,73,35.6,52.1,1.00%,2,3,66.7,23.40%,24,70,34.3
Andrew Wiggins,MIN,22,59,59,21.90%,66,196,33.7,49.7,1.00%,3,9,33.3,20.90%,63,187,33.7
Ante Zizic,CLE,21,14,1,8.30%,0,1,0,0,8.30%,0,1,0,0.00%,0,0,-
Anthony Davis,NOP,24,49,45,18.00%,61,157,38.9,48.7,7.80%,30,68,44.1,10.20%,31,89,34.8
Anthony Tolliver,DET,32,52,52,78.90%,95,220,43.2,64.3,0.70%,2,2,100,78.10%,93,218,42.7
Antonio Blakeney,CHI,21,12,8,24.70%,7,19,36.8,50,3.90%,2,3,66.7,20.80%,5,16,31.3
Antonius Cleveland,DAL,24,13,4,30.80%,1,4,25,25,23.10%,1,3,33.3,7.70%,0,1,0
Aron Baynes,BOS,31,55,43,36.80%,47,99,47.5,47.5,33.80%,47,91,51.6,3.00%,0,8,0
Arron Afflalo,ORL,32,41,29,48.20%,19,55,34.5,50,11.40%,2,13,15.4,36.80%,17,42,40.5
Austin Rivers,LAC,25,34,33,20.20%,30,87,34.5,51.7,0.20%,0,1,0,20.00%,30,86,34.9
Avery Bradley,LAC,27,44,43,41.10%,84,228,36.8,51.1,11.20%,19,62,30.6,29.90%,65,166,39.2
Bam Adebayo,MIA,20,46,19,13.50%,8,28,28.6,28.6,11.50%,8,24,33.3,1.90%,0,4,0
Ben McLemore,MEM,25,33,25,43.60%,25,79,31.6,46.2,5.50%,2,10,20,38.10%,23,69,33.3
Ben Simmons,PHI,21,51,11,1.70%,3,11,27.3,27.3,0.80%,3,5,60,0.90%,0,6,0
Bismack Biyombo,ORL,25,55,20,10.30%,7,21,33.3,33.3,10.30%,7,21,33.3,0.00%,0,0,-
