PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Aaron Brooks,MIN,33,26,16,51.00%,11,25,44,48,26.50%,9,13,69.2,24.50%,2,12,16.7
Aaron Gordon,ORL,22,39,37,29.50%,55,163,33.7,39,17.90%,38,99,38.4,11.60%,17,64,26.6
Abdel Nader,BOS,24,27,4,5.40%,1,4,25,37.5,4.10%,0,3,0,1.40%,1,1,100
Adreian Payne,ORL,26,5,2,20.00%,1,2,50,50,20.00%,1,2,50,0.00%,0,0,-
Al Horford,BOS,31,50,41,15.20%,31,76,40.8,43.4,14.20%,27,71,38,1.00%,4,5,80
Al Jefferson,IND,33,28,7,8.80%,5,12,41.7,41.7,8.80%,5,12,41.7,0.00%,0,0,-
Al-Farouq Aminu,POR,27,44,26,13.20%,9,48,18.8,24,8.50%,4,31,12.9,4.70%,5,17,29.4
Alec Burks,UTA,26,50,43,36.00%,48,125,38.4,46.4,19.90%,28,69,40.6,16.10%,20,56,35.7
Alec Peters,PHX,22,9,1,4.20%,0,1,0,0,0.00%,0,0,-,4.20%,0,1,0
Alex Abrines,OKC,24,49,16,9.30%,4,18,22.2,22.2,4.10%,4,8,50,5.20%,0,10,0
Alex Caruso,LAL,23,24,12,35.70%,4,20,20,25,19.60%,2,11,18.2,16.10%,2,9,22.2
Alex Len,PHX,24,47,3,1.40%,0,3,0,0,1.40%,0,3,0,0.00%,0,0,-
Alfonzo McKinnie,TOR,25,11,2,16.70%,2,2,100,125,8.30%,1,1,100,8.30%,1,1,100
Allen Crabbe,BKN,25,51,46,26.20%,42,137,30.7,33.6,17.80%,34,93,36.6,8.40%,8,44,18.2
Amir Johnson,PHI,30,50,4,2.60%,1,4,25,25,1.30%,1,2,50,1.30%,0,2,0
Andre Drummond,DET,24,53,18,3.80%,4,21,19,19,3.10%,4,17,23.5,0.70%,0,4,0
Andre Iguodala,GSW,34,47,30,23.00%,17,50,34,41,13.40%,10,29,34.5,9.70%,7,21,33.3
Andre Roberson,OKC,26,37,1,0.70%,0,1,0,0,0.00%,0,0,-,0.70%,0,1,0
Andrew Bogut,LAL,33,23,1,4.20%,0,1,0,0,4.20%,0,1,0,0.00%,0,0,-
Andrew Harrison,MEM,23,47,42,37.50%,36,112,32.1,37.1,25.80%,25,77,32.5,11.70%,11,35,31.4
Andrew Wiggins,MIN,22,59,59,39.10%,117,349,33.5,35.7,32.60%,102,291,35.1,6.50%,15,58,25.9
Ante Zizic,CLE,21,14,1,8.30%,0,1,0,0,8.30%,0,1,0,0.00%,0,0,-
Anthony Davis,NOP,24,49,45,23.30%,78,204,38.2,39.2,22.30%,74,195,37.9,1.00%,4,9,44.4
Anthony Tolliver,DET,32,52,10,3.60%,3,10,30,35,1.40%,2,4,50,2.20%,1,6,16.7
Antonio Blakeney,CHI,21,12,11,53.20%,17,41,41.5,46.3,35.10%,13,27,48.1,18.20%,4,14,28.6
Antonius Cleveland,DAL,24,13,4,38.50%,1,5,20,20,38.50%,1,5,20,0.00%,0,0,-
Aron Baynes,BOS,31,55,9,3.70%,3,10,30,30,3.70%,3,10,30,0.00%,0,0,-
Arron Afflalo,ORL,32,41,26,32.50%,13,37,35.1,35.1,27.20%,13,31,41.9,5.30%,0,6,0
Austin Rivers,LAC,25,34,34,37.40%,60,161,37.3,52.2,10.20%,12,44,27.3,27.10%,48,117,41
Avery Bradley,LAC,27,44,43,27.60%,58,153,37.9,40.8,22.00%,49,122,40.2,5.60%,9,31,29
Bam Adebayo,MIA,20,46,7,3.40%,2,7,28.6,28.6,2.40%,2,5,40,1.00%,0,2,0
Ben McLemore,MEM,25,33,21,22.70%,15,41,36.6,40.2,13.80%,12,25,48,8.80%,3,16,18.8
Ben Simmons,PHI,21,51,47,22.10%,46,141,32.6,32.6,21.50%,46,137,33.6,0.60%,0,4,0
Bismack Biyombo,ORL,25,55,5,3.00%,0,6,0,0,3.00%,0,6,0,0.00%,0,0,-
Blake Griffin,DET,28,39,39,23.10%,42,151,27.8,36.4,10.40%,16,68,23.5,12.70%,26,83,31.3
Boban Marjanovic,LAC,29,20,4,5.60%,2,4,50,50,5.60%,2,4,50,0.00%,0,0,-
Bobby Brown,HOU,33,20,18,66.10%,12,37,32.4,43.2,17.90%,4,10,40,48.20%,8,27,29.6
Bobby Portis,CHI,23,46,32,11.40%,23,49,46.9,49,10.20%,21,44,47.7,1.20%,2,5,40
Bogdan Bogdanovic,SAC,25,52,50,38.90%,82,176,46.6,54.5,24.30%,54,110,49.1,14.60%,28,66,42.4
Bojan Bogdanovic,IND,28,56,48,20.00%,46,108,42.6,50,13.70%,30,74,40.5,6.30%,16,34,47.1
Bradley Beal,WAS,24,56,56,43.20%,176,432,40.7,45.4,30.10%,136,301,45.2,13.10%,40,131,30.5
Brandan Wright,MEM,30,27,3,3.30%,0,3,0,0,3.30%,0,3,0,0.00%,0,0,-
Brandon Ingram,LAL,20,51,48,32.50%,72,197,36.5,37.6,31.10%,68,189,36,1.30%,4,8,50
Brandon Paul,SAS,26,50,12,16.20%,1,17,5.9,5.9,9.50%,1,10,10,6.70%,0,7,0
Briante Weber,HOU,25,13,5,40.00%,3,8,37.5,56.3,10.00%,0,2,0,30.00%,3,6,50
Brice Johnson,MEM,23,9,1,9.10%,1,1,100,100,9.10%,1,1,100,0.00%,0,0,-
Brook Lopez,LAL,29,47,34,12.70%,21,60,35,37.5,11.20%,18,53,34,1.50%,3,7,42.9
Bryn Forbes,SAS,24,57,49,32.20%,56,123,45.5,49.6,25.70%,46,98,46.9,6.50%,10,25,40
Buddy Hield,SAC,24,53,52,45.90%,89,249,35.7,41.4,28.40%,61,154,39.6,17.50%,28,95,29.5
C.J. Williams,LAC,28,28,20,35.00%,19,48,39.6,47.9,21.20%,11,29,37.9,13.90%,8,19,42.1
CJ McCollum,POR,26,56,56,50.90%,215,488,44.1,50.5,34.30%,152,329,46.2,16.60%,63,159,39.6
CJ Miles,TOR,30,45,38,20.00%,24,73,32.9,43.8,7.90%,8,29,27.6,12.10%,16,44,36.4
Caleb Swanigan,POR,20,17,5,12.20%,0,5,0,0,12.20%,0,5,0,0.00%,0,0,-
Caris LeVert,BKN,23,48,45,31.90%,44,144,30.6,36.8,18.10%,26,82,31.7,13.70%,18,62,29
Carmelo Anthony,OKC,33,52,52,41.60%,126,316,39.9,42.1,34.30%,112,260,43.1,7.40%,14,56,25
Cedi Osman,CLE,22,44,12,14.30%,4,13,30.8,30.8,12.10%,4,11,36.4,2.20%,0,2,0
Chandler Parsons,MEM,29,26,21,36.80%,31,63,49.2,57.1,20.50%,21,35,60,16.40%,10,28,35.7
Channing Frye,LAL,34,44,12,8.40%,8,14,57.1,60.7,6.00%,7,10,70,2.40%,1,4,25
Charles Cooke,NOP,23,7,3,37.50%,0,3,0,0,12.50%,0,1,0,25.00%,0,2,0
Cheick Diallo,NOP,21,28,7,15.30%,5,11,45.5,45.5,15.30%,5,11,45.5,0.00%,0,0,-
Chris McCullough,WAS,23,18,4,12.80%,3,5,60,60,12.80%,3,5,60,0.00%,0,0,-
Chris Paul,HOU,32,37,37,70.90%,164,363,45.2,56.1,32.20%,85,165,51.5,38.70%,79,198,39.9
Clint Capela,HOU,23,50,2,0.50%,0,2,0,0,0.50%,0,2,0,0.00%,0,0,-
Cody Zeller,CHA,25,25,2,2.00%,1,2,50,50,2.00%,1,2,50,0.00%,0,0,-
Corey Brewer,LAL,31,51,9,6.80%,2,10,20,20,3.40%,2,5,40,3.40%,0,5,0
Cory Joseph,IND,26,57,55,44.40%,73,166,44,46.1,38.00%,66,142,46.5,6.40%,7,24,29.2
Courtney Lee,NYK,32,56,55,40.00%,91,233,39.1,43.1,31.70%,72,185,38.9,8.20%,19,48,39.6
D'Angelo Russell,BKN,21,23,23,47.60%,55,147,37.4,42.9,28.20%,39,87,44.8,19.40%,16,60,26.7
D.J. Augustin,ORL,30,48,40,31.70%,38,88,43.2,57.4,9.00%,13,25,52,22.70%,25,63,39.7
D.J. Wilson,MIL,21,18,1,8.30%,0,1,0,0,8.30%,0,1,0,0.00%,0,0,-
Dakari Johnson,OKC,22,24,2,6.70%,1,2,50,50,6.70%,1,2,50,0.00%,0,0,-
Damian Lillard,POR,27,50,50,48.50%,174,429,40.6,52.4,19.00%,72,168,42.9,29.50%,102,261,39.1
Damien Wilkins,IND,38,19,8,25.60%,3,10,30,30,23.10%,3,9,33.3,2.60%,0,1,0
Damyean Dotson,NYK,23,25,15,39.40%,12,26,46.2,48.1,25.80%,11,17,64.7,13.60%,1,9,11.1
Daniel Hamilton,OKC,22,4,2,30.00%,1,3,33.3,50,10.00%,0,1,0,20.00%,1,2,50
Daniel Theis,BOS,25,53,10,5.50%,6,10,60,65,4.90%,5,9,55.6,0.50%,1,1,100
Danilo Gallinari,LAC,29,16,15,23.50%,15,46,32.6,37,17.30%,11,34,32.4,6.10%,4,12,33.3
Danny Green,SAS,30,46,38,21.90%,24,80,30,35,13.20%,16,48,33.3,8.80%,8,32,25
Dante Cunningham,BKN,30,52,3,1.40%,0,3,0,0,0.90%,0,2,0,0.50%,0,1,0
Danuel House,PHX,24,16,8,20.70%,4,12,33.3,41.7,5.20%,2,3,66.7,15.50%,2,9,22.2
Dario Saric,PHI,23,51,30,8.70%,14,48,29.2,30.2,7.40%,13,41,31.7,1.30%,1,7,14.3
Darius Miller,NOP,27,55,43,26.70%,46,85,54.1,61.2,18.20%,34,58,58.6,8.50%,12,27,44.4
Darrell Arthur,DEN,29,13,4,10.80%,1,4,25,25,8.10%,1,3,33.3,2.70%,0,1,0
Darren Collison,IND,30,52,52,46.90%,103,220,46.8,52.5,34.30%,78,161,48.4,12.60%,25,59,42.4
Darrun Hilliard,SAS,24,13,5,37.50%,3,6,50,50,31.30%,3,5,60,6.30%,0,1,0
David Nwaba,CHI,25,43,4,2.70%,0,5,0,0,1.60%,0,3,0,1.10%,0,2,0
David West,GSW,37,52,18,8.50%,12,22,54.5,56.8,7.70%,11,20,55,0.80%,1,2,50
Davis Bertans,SAS,25,53,29,16.90%,10,44,22.7,23.9,9.60%,9,25,36,7.30%,1,19,5.3
Davon Reed,PHX,22,6,2,18.20%,0,2,0,0,9.10%,0,1,0,9.10%,0,1,0
De'Aaron Fox,SAC,20,48,47,46.50%,76,215,35.3,38.1,38.50%,64,178,36,8.00%,12,37,32.4
DeAndre Jordan,LAC,29,49,2,0.60%,0,2,0,0,0.60%,0,2,0,0.00%,0,0,-
DeAndre Liggins,NOP,29,37,11,15.40%,5,12,41.7,45.8,10.30%,4,8,50,5.10%,1,4,25
DeAndre' Bembry,ATL,23,17,9,12.80%,1,10,10,10,9.00%,1,7,14.3,3.80%,0,3,0
DeMar DeRozan,TOR,28,55,55,50.10%,196,475,41.3,43.6,41.60%,174,394,44.2,8.50%,22,81,27.2
DeMarcus Cousins,NOP,27,48,42,12.20%,35,98,35.7,41.3,8.50%,24,68,35.3,3.70%,11,30,36.7
DeMarre Carroll,BKN,31,50,42,19.60%,34,98,34.7,42.3,10.60%,19,53,35.8,9.00%,15,45,33.3
Dejounte Murray,SAS,21,56,41,29.70%,37,102,36.3,36.3,29.70%,37,102,36.3,0.00%,0,0,-
Delon Wright,TOR,25,43,24,14.80%,14,38,36.8,52.6,2.70%,2,7,28.6,12.10%,12,31,38.7
Demetrius Jackson,PHI,23,12,1,8.30%,0,1,0,0,0.00%,0,0,-,8.30%,0,1,0
Dennis Schroder,ATL,24,53,53,47.00%,173,388,44.6,48.8,34.10%,140,282,49.6,12.80%,33,106,31.1
Dennis Smith Jr.,DAL,20,49,49,44.30%,85,278,30.6,37.2,23.70%,48,149,32.2,20.50%,37,129,28.7
Denzel Valentine,CHI,24,55,55,47.10%,93,229,40.6,49.6,25.90%,52,126,41.3,21.20%,41,103,39.8
Derrick Favors,UTA,26,53,16,4.10%,8,19,42.1,44.7,3.50%,7,16,43.8,0.60%,1,3,33.3
Derrick Jones Jr.,MIA,20,16,1,2.50%,0,1,0,0,2.50%,0,1,0,0.00%,0,0,-
Derrick Rose,CLE,29,16,11,28.90%,12,35,34.3,38.6,23.10%,9,28,32.1,5.80%,3,7,42.9
Derrick Walton Jr.,MIA,22,14,6,47.80%,3,11,27.3,36.4,26.10%,1,6,16.7,21.70%,2,5,40
Derrick White,SAS,23,15,4,33.30%,2,8,25,37.5,20.80%,0,5,0,12.50%,2,3,66.7
Devin Booker,PHX,21,43,43,47.80%,147,364,40.4,48.1,27.80%,91,212,42.9,19.90%,56,152,36.8
Devin Harris,DEN,34,45,34,23.40%,13,64,20.3,27.3,8.80%,4,24,16.7,14.60%,9,40,22.5
Dewayne Dedmon,ATL,28,37,11,4.50%,5,12,41.7,41.7,4.10%,5,11,45.5,0.40%,0,1,0
Deyonta Davis,MEM,21,38,5,4.60%,4,6,66.7,66.7,4.60%,4,6,66.7,0.00%,0,0,-
Dillon Brooks,MEM,22,55,47,26.60%,32,104,30.8,33.2,19.70%,27,77,35.1,6.90%,5,27,18.5
Dion Waiters,MIA,26,29,27,32.90%,39,125,31.2,36.8,18.40%,25,70,35.7,14.50%,14,55,25.5
Dirk Nowitzki,DAL,39,56,49,25.10%,54,138,39.1,40.2,22.70%,51,125,40.8,2.40%,3,13,23.1
Domantas Sabonis,IND,21,55,8,2.10%,4,10,40,45,1.90%,3,9,33.3,0.20%,1,1,100
Donovan Mitchell,UTA,21,53,52,42.20%,119,342,34.8,43,18.90%,63,153,41.2,23.30%,56,189,29.6
Dorian Finney-Smith,DAL,24,8,2,9.50%,1,2,50,50,9.50%,1,2,50,0.00%,0,0,-
Doug McDermott,DAL,26,56,29,15.30%,14,49,28.6,29.6,11.30%,13,36,36.1,4.10%,1,13,7.7
Dragan Bender,PHX,20,57,14,4.60%,3,14,21.4,21.4,4.30%,3,13,23.1,0.30%,0,1,0
Draymond Green,GSW,27,49,22,7.50%,7,31,22.6,24.2,5.30%,6,22,27.3,2.20%,1,9,11.1
Dwayne Bacon,CHA,22,35,24,52.60%,18,60,30,30,50.90%,18,58,31,1.80%,0,2,0
Dwight Buycks,DET,28,15,10,47.80%,18,43,41.9,48.8,30.00%,12,27,44.4,17.80%,6,16,37.5
Dwight Howard,CHA,32,56,5,1.10%,3,6,50,50,1.10%,3,6,50,0.00%,0,0,-
Dwight Powell,DAL,26,56,12,4.90%,6,13,46.2,46.2,4.20%,6,11,54.5,0.80%,0,2,0
Dwyane Wade,MIA,36,47,47,44.00%,58,182,31.9,36,34.10%,43,141,30.5,9.90%,15,41,36.6
E'Twaun Moore,NOP,28,55,47,17.40%,46,92,50,54.3,14.20%,38,75,50.7,3.20%,8,17,47.1
Ed Davis,POR,28,57,2,1.00%,0,2,0,0,1.00%,0,2,0,0.00%,0,0,-
Elfrid Payton,PHX,23,45,35,18.90%,36,83,43.4,45.2,16.90%,33,74,44.6,2.10%,3,9,33.3
Emmanuel Mudiay,NYK,21,43,41,39.90%,43,119,36.1,42.4,25.80%,28,77,36.4,14.10%,15,42,35.7
Enes Kanter,NYK,25,52,9,2.10%,4,10,40,40,2.10%,4,10,40,0.00%,0,0,-
Eric Bledsoe,MIL,28,47,46,32.70%,73,195,37.4,41.8,21.50%,56,128,43.8,11.20%,17,67,25.4
Eric Gordon,HOU,29,50,49,27.20%,57,188,30.3,42.8,3.80%,10,26,38.5,23.40%,47,162,29
Eric Moreland,DET,26,44,3,5.80%,0,3,0,0,5.80%,0,3,0,0.00%,0,0,-
Ersan Ilyasova,ATL,30,45,28,12.30%,12,45,26.7,33.3,5.40%,6,20,30,6.80%,6,25,24
Evan Fournier,ORL,25,47,45,25.90%,62,161,38.5,44.7,15.00%,42,93,45.2,11.00%,20,68,29.4
Evan Turner,POR,29,54,54,53.10%,93,206,45.1,45.4,52.60%,92,204,45.1,0.50%,1,2,50
Frank Kaminsky,CHA,24,53,48,21.70%,35,101,34.7,36.1,19.80%,32,92,34.8,1.90%,3,9,33.3
Frank Mason,SAC,23,29,25,45.70%,35,86,40.7,47.7,33.50%,23,63,36.5,12.20%,12,23,52.2
Frank Ntilikina,NYK,19,53,50,54.10%,58,164,35.4,39,39.60%,46,120,38.3,14.50%,12,44,27.3
Fred VanVleet,TOR,23,52,35,20.40%,23,64,35.9,49.2,6.70%,6,21,28.6,13.70%,17,43,39.5
Furkan Korkmaz,PHI,20,6,1,8.30%,0,1,0,0,0.00%,0,0,-,8.30%,0,1,0
Garrett Temple,SAC,31,51,47,37.30%,53,137,38.7,44.2,24.80%,38,91,41.8,12.50%,15,46,32.6
Gary Harris,DEN,23,52,49,29.30%,81,194,41.8,48.5,18.10%,55,120,45.8,11.20%,26,74,35.1
Gary Payton II,LAL,25,15,4,10.30%,1,4,25,25,7.70%,1,3,33.3,2.60%,0,1,0
George Hill,CLE,31,44,40,38.20%,50,124,40.3,47.2,26.20%,33,85,38.8,12.00%,17,39,43.6
Georgios Papagiannis,SAC,20,16,1,2.60%,1,1,100,100,2.60%,1,1,100,0.00%,0,0,-
Gerald Green,HOU,32,19,16,30.80%,29,62,46.8,61.3,11.40%,11,23,47.8,19.40%,18,39,46.2
Gian Clavell,DAL,24,7,4,27.80%,0,5,0,0,11.10%,0,2,0,16.70%,0,3,0
Giannis Antetokounmpo,MIL,23,50,50,33.60%,110,302,36.4,37.6,29.60%,103,266,38.7,4.00%,7,36,19.4
Goran Dragic,MIA,31,50,50,36.10%,96,249,38.6,42.4,27.40%,77,189,40.7,8.70%,19,60,31.7
Gorgui Dieng,MIN,28,56,22,12.50%,17,34,50,50,11.40%,17,31,54.8,1.10%,0,3,0
Greg Monroe,BOS,27,27,3,1.70%,1,3,33.3,33.3,1.70%,1,3,33.3,0.00%,0,0,-
Guerschon Yabusele,BOS,22,21,2,6.70%,1,2,50,50,6.70%,1,2,50,0.00%,0,0,-
Harrison Barnes,DAL,25,55,53,33.50%,105,269,39,41.8,28.50%,90,229,39.3,5.00%,15,40,37.5
Hassan Whiteside,MIA,28,37,17,6.00%,8,22,36.4,36.4,6.00%,8,22,36.4,0.00%,0,0,-
Henry Ellenson,DET,21,21,7,10.90%,2,7,28.6,28.6,9.40%,2,6,33.3,1.60%,0,1,0
Ian Clark,NOP,26,49,34,31.80%,33,81,40.7,45.7,21.20%,25,54,46.3,10.60%,8,27,29.6
Iman Shumpert,SAC,27,14,13,50.90%,12,28,42.9,50,34.50%,8,19,42.1,16.40%,4,9,44.4
Isaiah Canaan,PHX,26,20,19,36.80%,14,46,30.4,42.4,6.40%,3,8,37.5,30.40%,11,38,28.9
Isaiah Hicks,NYK,23,1,1,40.00%,1,2,50,50,20.00%,1,1,100,20.00%,0,1,0
Isaiah Taylor,ATL,23,42,19,15.10%,6,24,25,29.2,10.70%,4,17,23.5,4.40%,2,7,28.6
Isaiah Thomas,LAL,29,16,16,47.30%,36,86,41.9,48.8,23.60%,24,43,55.8,23.60%,12,43,27.9
Isaiah Whitehead,BKN,22,13,8,23.20%,6,16,37.5,46.9,13.00%,3,9,33.3,10.10%,3,7,42.9
Ish Smith,DET,29,55,54,46.20%,100,234,42.7,44,42.00%,94,213,44.1,4.10%,6,21,28.6
Ivan Rabb,MEM,21,16,6,11.50%,3,6,50,50,11.50%,3,6,50,0.00%,0,0,-
Ivica Zubac,LAL,20,16,1,5.90%,0,1,0,0,5.90%,0,1,0,0.00%,0,0,-
J.J. Barea,DAL,33,52,52,47.00%,68,230,29.6,37.4,18.80%,32,92,34.8,28.20%,36,138,26.1
JJ Redick,PHI,33,41,41,47.40%,110,237,46.4,53.6,28.80%,76,144,52.8,18.60%,34,93,36.6
JR Smith,CLE,32,54,48,26.90%,34,108,31.5,38,12.90%,20,52,38.5,13.90%,14,56,25
JaMychal Green,MEM,27,35,13,6.30%,5,17,29.4,29.4,5.50%,5,15,33.3,0.70%,0,2,0
JaVale McGee,GSW,30,40,8,7.70%,3,8,37.5,37.5,6.70%,3,7,42.9,1.00%,0,1,0
Jabari Parker,MIL,22,4,2,12.00%,1,3,33.3,33.3,4.00%,1,1,100,8.00%,0,2,0
Jacob Pullen,PHI,28,3,1,50.00%,1,1,100,100,50.00%,1,1,100,0.00%,0,0,-
