PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Zaza Pachulia,GSW,32,36,31,5,667,201,76,142,53.5,0,0,0,49,59,83.1,75,131,206,75,49,29,17,81,2,0,251
Zach Randolph,MEM,35,35,21,14,814,481,208,461,45.1,10,42,23.8,55,73,75.3,79,199,278,62,44,20,7,70,9,0,62
Zach LaVine,MIN,21,37,11,26,1384,754,276,590,46.8,106,259,40.9,96,112,85.7,17,106,123,115,74,30,8,84,0,0,-95
Yogi Ferrell,BKN,23,10,1,9,151,54,18,49,36.7,8,27,29.6,10,16,62.5,4,8,12,17,14,2,2,11,0,0,-44
Wilson Chandler,DEN,29,35,14,21,1091,573,225,496,45.4,56,163,34.4,67,93,72,50,192,242,71,55,26,9,81,5,0,-63
Willy Hernangomez,NYK,22,34,15,19,441,173,73,133,54.9,3,9,33.3,24,35,68.6,45,99,144,26,40,9,16,47,0,0,0
Willie Reed,MIA,26,32,10,22,437,163,71,126,56.3,0,2,0,21,42,50,63,92,155,12,11,6,25,52,3,0,-21
Willie Cauley-Stein,SAC,23,32,13,19,360,139,62,112,55.4,0,1,0,15,33,45.5,25,42,67,10,17,13,12,60,0,0,-112
Will Barton,DEN,26,26,11,15,745,349,123,279,44.1,35,89,39.3,68,90,75.6,27,96,123,67,41,24,10,48,0,0,-89
Wesley Matthews,DAL,30,38,12,26,1357,573,192,498,38.6,109,290,37.6,80,100,80,8,106,114,85,55,50,9,81,0,0,-151
Wesley Johnson,LAC,29,35,22,13,474,113,42,121,34.7,19,73,26,10,15,66.7,19,96,115,19,13,17,21,59,0,0,0
Wayne Ellington,MIA,29,21,5,16,556,227,83,203,40.9,42,131,32.1,19,22,86.4,4,31,35,32,8,12,3,25,0,0,-89
Wade Baldwin IV,MEM,20,23,14,9,304,81,26,83,31.3,2,18,11.1,27,32,84.4,7,26,33,48,30,12,6,28,0,0,-90
Vince Carter,MEM,39,35,19,16,824,278,95,245,38.8,52,150,34.7,36,54,66.7,18,99,117,58,21,27,16,80,0,0,82
Victor Oladipo,OKC,24,32,19,13,1085,517,202,447,45.2,70,184,38,43,66,65.2,20,120,140,86,53,30,8,69,1,0,114
Udonis Haslem,MIA,36,13,3,10,111,27,9,18,50,0,1,0,9,15,60,7,21,28,6,7,5,1,17,0,0,-53
Tyus Jones,MIN,20,22,7,15,231,73,24,52,46.2,11,25,44,14,15,93.3,6,21,27,44,13,14,0,14,0,0,41
Tyson Chandler,PHX,34,31,9,22,862,242,96,142,67.6,0,0,0,50,75,66.7,103,268,371,18,48,18,14,90,8,0,-43
Tyreke Evans,NOP,27,12,7,5,202,110,39,94,41.5,12,35,34.3,20,20,100,2,37,39,44,17,7,2,19,0,0,-28
Tyler Zeller,BOS,26,27,15,12,327,111,48,103,46.6,0,1,0,15,24,62.5,29,50,79,24,10,5,15,35,1,0,19
Tyler Ulis,PHX,21,24,4,20,218,74,30,77,39,3,8,37.5,11,14,78.6,5,11,16,32,16,18,1,20,0,0,19
Tyler Johnson,MIA,24,38,11,27,1177,529,191,443,43.1,52,139,37.4,95,127,74.8,23,147,170,122,39,45,29,93,0,0,-85
Tyler Ennis,HOU,22,23,16,7,169,51,22,56,39.3,5,14,35.7,2,3,66.7,4,12,16,27,20,5,0,26,0,0,-52
Ty Lawson,SAC,29,38,15,23,957,332,120,280,42.9,21,71,29.6,71,90,78.9,26,78,104,158,68,42,3,59,0,0,-32
Troy Williams,MEM,22,24,15,9,418,127,51,122,41.8,10,41,24.4,15,25,60,6,38,44,19,27,24,9,42,0,0,-64
Troy Daniels,MEM,25,31,16,15,614,313,105,265,39.6,73,179,40.8,30,36,83.3,9,38,47,24,20,12,3,50,0,0,97
Tristan Thompson,CLE,25,39,29,10,1128,284,112,192,58.3,0,3,0,60,119,50.4,146,238,384,30,33,23,45,92,9,0,183
Trey Lyles,UTA,21,41,25,16,823,351,129,317,40.7,52,152,34.2,41,55,74.5,38,125,163,52,46,18,16,60,1,0,11
Trey Burke,WAS,24,34,17,17,413,163,66,145,45.5,18,36,50,13,19,68.4,5,15,20,49,25,8,3,33,0,0,-121
Trevor Booker,BKN,29,36,8,28,985,354,149,289,51.6,13,39,33.3,43,64,67.2,79,247,326,88,65,51,17,83,12,0,-231
Trevor Ariza,HOU,31,42,31,11,1438,531,189,436,43.3,114,303,37.6,39,58,67.2,31,189,220,90,36,83,12,70,1,0,218
Treveon Graham,CHA,23,12,6,6,77,21,6,9,66.7,4,6,66.7,5,8,62.5,0,8,8,5,1,1,0,13,0,0,-17
Tony Snell,MIL,25,37,20,17,1087,312,116,266,43.6,62,177,35,18,23,78.3,14,119,133,47,24,17,7,57,1,0,-24
Tony Parker,SAS,34,30,24,6,767,339,145,303,47.9,13,34,38.2,36,45,80,8,54,62,145,41,11,1,44,0,0,150
Tony Allen,MEM,35,35,20,15,975,352,147,300,49,6,21,28.6,52,79,65.8,82,106,188,42,53,62,15,94,3,0,-13
Toney Douglas,MEM,30,6,5,1,107,35,14,36,38.9,3,11,27.3,4,5,80,2,14,16,16,5,6,1,9,0,0,13
Tomas Satoransky,WAS,25,23,10,13,339,71,29,73,39.7,2,19,10.5,11,17,64.7,9,25,34,50,21,12,0,34,0,0,18
Tobias Harris,DET,24,42,18,24,1382,694,269,560,48,57,166,34.3,99,110,90,20,193,213,72,55,30,24,69,3,0,-82
Timothe Luwawu-Cabarrot,PHI,21,24,7,17,201,57,17,49,34.7,4,16,25,19,26,73.1,2,25,27,10,8,6,4,34,0,0,-17
Timofey Mozgov,LAL,30,42,14,28,896,336,142,274,51.8,0,1,0,52,65,80,85,118,203,31,52,13,20,106,1,0,-189
Tim Quarterman,POR,22,12,4,8,39,16,7,10,70,2,5,40,0,0,0,2,4,6,7,4,1,2,3,0,0,12
Tim Hardaway Jr.,ATL,24,37,21,16,831,442,165,368,44.8,63,177,35.6,49,76,64.5,12,65,77,61,36,19,9,43,0,0,111
Tim Frazier,NOP,26,33,12,21,931,328,117,272,43,29,77,37.7,65,80,81.3,19,91,110,221,73,37,6,82,7,1,-58
Thon Maker,MIL,19,16,10,6,72,37,13,21,61.9,5,9,55.6,6,10,60,3,15,18,1,2,0,4,10,0,0,-9
Thomas Robinson,LAL,25,30,9,21,357,127,56,106,52.8,0,0,0,15,33,45.5,59,86,145,21,23,16,9,50,0,0,-96
