Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,23,OKC,14,0,197,23,63,.365,12,42,.286,11,21,.524,.460,10,11,.909,2,13,15,7,5,1,12,14,68
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,48,5,17,.294,1,8,.125,4,9,.444,.324,2,3,.667,2,6,8,0,0,0,2,9,13
3,Steven Adams\adamsst01,C,23,OKC,15,15,480,62,117,.530,0,0,,62,117,.530,.530,34,38,.895,45,75,120,12,21,17,35,38,158
4,Arron Afflalo\afflaar01,SG,31,SAC,14,13,394,47,109,.431,12,33,.364,35,76,.461,.486,29,31,.935,4,33,37,11,4,1,4,28,135
5,Alexis Ajinca\ajincal01,C,28,NOP,7,0,94,12,27,.444,0,0,,12,27,.444,.444,3,4,.750,8,18,26,1,1,5,5,13,27
6,Cole Aldrich\aldrico01,C,28,MIN,13,0,161,15,28,.536,0,0,,15,28,.536,.536,3,7,.429,13,31,44,5,9,5,3,33,33
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,12,12,390,83,174,.477,7,12,.583,76,162,.469,.497,46,52,.885,19,64,83,16,10,13,20,28,219
8,Lavoy Allen\allenla01,PF,27,IND,15,0,229,15,44,.341,0,1,.000,15,43,.349,.341,2,4,.500,20,24,44,17,4,5,7,22,32
9,Tony Allen\allento01,SG,35,MEM,7,5,157,20,50,.400,2,5,.400,18,45,.400,.420,8,12,.667,12,13,25,3,13,4,7,21,50
10,Al-Farouq Aminu\aminual01,SF,26,POR,8,8,209,17,61,.279,9,36,.250,8,25,.320,.352,8,15,.533,7,46,53,13,12,7,12,10,51
11,Chris Andersen\anderch01,C,38,CLE,4,0,30,3,9,.333,0,1,.000,3,8,.375,.333,4,6,.667,5,6,11,1,2,2,3,4,10
12,Alan Anderson\anderal01,SF,34,LAC,1,0,9,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,1,0,1,1,0,0,1,1,3
13,Justin Anderson\anderju01,SF,23,DAL,13,2,281,34,101,.337,6,37,.162,28,64,.438,.366,16,23,.696,19,37,56,15,12,8,15,22,90
14,Kyle Anderson\anderky01,SG,23,SAS,13,7,222,12,33,.364,4,8,.500,8,25,.320,.424,3,4,.750,8,34,42,12,11,4,4,10,31
15,Ryan Anderson\anderry01,PF,28,HOU,14,14,448,61,159,.384,34,85,.400,27,74,.365,.491,15,18,.833,30,57,87,9,4,2,13,23,171
16,Giannis Antetokounmpo\antetgi01,SG,22,MIL,13,13,456,106,215,.493,5,30,.167,101,185,.546,.505,66,84,.786,23,87,110,75,26,28,42,48,283
17,Carmelo Anthony\anthoca01,SF,32,NYK,14,14,466,117,254,.461,28,82,.341,89,172,.517,.516,53,62,.855,13,66,79,36,13,4,28,45,315
18,Trevor Ariza\arizatr01,SF,31,HOU,14,14,473,59,141,.418,39,102,.382,20,39,.513,.557,13,16,.813,9,62,71,29,30,3,13,20,170
19,Darrell Arthur\arthuda01,PF,28,DEN,2,0,15,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,0,4,4,1,0,0,0,2,5
20,Omer Asik\asikom01,C,30,NOP,15,11,270,17,37,.459,0,0,,17,37,.459,.459,12,21,.571,26,71,97,10,1,6,9,25,46
21,D.J. Augustin\augusdj01,PG,29,ORL,14,0,258,43,109,.394,18,55,.327,25,54,.463,.477,27,30,.900,1,11,12,37,4,0,18,14,131
22,Luke Babbitt\babbilu01,SF,27,MIA,13,8,194,18,54,.333,14,41,.341,4,13,.308,.463,3,3,1.000,4,22,26,7,4,0,6,11,53
23,Ron Baker\bakerro01,SG,23,NYK,4,0,34,4,13,.308,2,7,.286,2,6,.333,.385,1,2,.500,1,1,2,2,3,1,1,1,11
24,Wade Baldwin\baldwwa01,PG,20,MEM,9,1,143,11,38,.289,2,9,.222,9,29,.310,.316,4,4,1.000,4,12,16,22,9,3,14,11,28
