PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Arinze Onuaku,ORL,8,3,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Bullock,DET,19,9,10,258,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheick Diallo,NOP,10,5,5,96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
Jakob Poeltl,TOR,36,24,12,364,4,0,2,0,0,0,0,0,0,1,25,0,0,1,25,0,0
Greivis Vasquez,BKN,3,1,2,39,6,0,2,0,0,0,0,0,0,3,50,0,0,1,16.7,0,0
Deyonta Davis,MEM,28,18,10,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rakeem Christmas,IND,15,6,9,108,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
Nick Collison,OKC,14,5,9,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Hammons,DAL,17,3,14,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Wiltjer,HOU,10,9,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Huestis,OKC,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJ Hunter,CHI,3,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Price,PHX,4,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0
Jared Sullinger,TOR,11,2,9,118,5,0,3,0,0,0,0,0,0,2,40,0,0,0,0,0,0
Aaron Harrison,CHA,5,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarnell Stokes,DEN,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Hill,MIN,5,2,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boban Marjanovic,DET,25,13,12,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damian Jones,GSW,8,6,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Plumlee,CHA,37,16,21,377,3,0,1,0,0,0,0,0,0,1,33.3,0,0,1,33.3,0,0
Mike Tobey,CHA,2,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod Uthoff,DAL,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Vujacic,NYK,30,10,20,235,12,0,1,0,0,0,0,0,0,8,66.7,3,25,3,25,0,0
Danuel House,WAS,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Miller,DEN,15,5,10,82,3,0,0,0,0,0,0,0,0,3,100,0,0,0,0,0,0
Brice Johnson,LAC,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Harper,PHI,3,1,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damjan Rudez,ORL,38,11,27,286,5,0,2,0,0,0,0,0,0,3,60,2,40,0,0,0,0
Michael Gbinije,DET,9,7,2,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edy Tavares,ATL,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios Papagiannis,SAC,6,1,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Withey,UTA,35,24,11,276,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Ochefu,WAS,15,10,5,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Farmar,SAC,2,1,1,35,8,0,2,0,0,0,0,0,0,5,62.5,1,12.5,1,12.5,0,0
Axel Toupane,MIL,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,ATL,18,7,11,195,4,0,1,0,0,0,0,0,0,2,50,1,25,1,25,0,0
Manny Harris,DAL,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Caboclo,TOR,7,6,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
Joel Bolomboy,UTA,9,6,3,20,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
Marshall Plumlee,NYK,10,4,6,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,SAS,12,9,3,64,1,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0
Stephen Zimmerman,ORL,13,5,8,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Novak,MIL,8,6,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewayne Dedmon,SAS,57,44,13,1001,4,0,0,0,0,0,0,0,0,2,50,1,25,2,50,0,0
Bryn Forbes,SAS,21,16,5,106,4,0,0,0,0,0,0,0,0,2,50,0,0,2,50,0,0
Jarrett Jack,NOP,2,1,1,33,1,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0
Ben Bentil,DAL,3,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandan Wright,MEM,11,7,4,161,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Baynes,DET,62,31,31,930,2,0,0,0,0,0,0,0,0,1,50,0,0,1,50,1,50
JR Smith,CLE,22,16,6,626,18,1,10,10,0,1,0,2,11.1,8,44.4,3,16.7,0,0,1,5.6
