TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,934,15.3%,0.92,855,302,704,42.9,48.6,10.8%,15.4%,9.9%,1.7%,41.4%,86.2
Denver Nuggets,56,947,14.9%,0.78,743,275,692,39.7,42.8,10.1%,18.6%,8.3%,1.8%,37.0%,13.8
Sacramento Kings,57,692,11.4%,0.79,548,213,515,41.4,44.3,8.7%,17.9%,7.5%,1.3%,37.9%,24.1
Los Angeles Clippers,56,1094,17.9%,0.91,997,398,842,47.3,51,8.1%,16.1%,5.9%,1.2%,43.3%,82.8
Washington Wizards,55,1154,18.9%,0.85,981,401,885,45.3,47.8,8.7%,16.4%,7.5%,1.9%,41.2%,48.3
Chicago Bulls,56,1172,19.0%,0.83,973,344,860,40,41.7,14.3%,14.6%,13.1%,2.4%,40.8%,41.4
Atlanta Hawks,56,1102,17.9%,0.79,874,365,858,42.5,44.5,7.2%,16.3%,6.4%,1.5%,38.6%,27.6
Portland Trail Blazers,56,1250,20.3%,0.93,1157,416,987,42.1,46.3,11.4%,11.4%,10.2%,1.8%,42.6%,93.1
Toronto Raptors,57,1492,24.3%,0.96,1425,531,1152,46.1,49.6,13.0%,12.2%,12.5%,2.6%,45.6%,100
Brooklyn Nets,56,985,15.7%,0.73,719,257,678,37.9,41.9,10.5%,22.3%,9.0%,1.6%,34.6%,0
Indiana Pacers,57,1078,17.3%,0.88,952,334,778,42.9,45.8,13.3%,16.6%,12.0%,2.2%,41.8%,69
Utah Jazz,57,1186,20.4%,0.93,1098,415,904,45.9,50.4,10.5%,15.3%,9.1%,2.1%,43.1%,96.6
Houston Rockets,58,1139,17.3%,0.92,1050,318,759,41.9,48.2,14.7%,19.9%,14.4%,1.7%,40.8%,89.7
San Antonio Spurs,56,981,16.2%,0.91,892,334,725,46.1,49.2,10.9%,16.4%,9.5%,1.4%,43.3%,79.3
Dallas Mavericks,56,894,15.8%,0.85,762,300,698,43,48.1,6.9%,16.6%,6.0%,1.6%,38.5%,51.7
Charlotte Hornets,56,1407,23.0%,0.86,1211,443,1094,40.5,45.8,9.8%,14.1%,9.0%,1.8%,39.3%,55.2
New York Knicks,57,1003,15.7%,0.83,828,320,763,41.9,44.4,10.4%,15.5%,9.1%,2.0%,39.9%,37.9
Detroit Pistons,57,1269,20.8%,0.87,1107,454,1019,44.6,47.2,7.3%,13.6%,6.6%,1.4%,41.6%,62.1
Orlando Magic,58,1025,16.1%,0.79,811,306,785,39,42,10.0%,14.9%,8.1%,1.7%,37.6%,17.2
Oklahoma City Thunder,57,1115,17.3%,0.82,918,337,834,40.4,44.1,10.7%,16.1%,9.8%,1.6%,39.0%,34.5
Miami Heat,57,1127,18.4%,0.78,881,348,837,41.6,43.5,9.0%,17.7%,8.3%,1.1%,38.5%,10.3
New Orleans Pelicans,57,1158,18.0%,0.81,940,367,888,41.3,45.7,8.1%,16.9%,7.6%,1.7%,37.7%,31
Los Angeles Lakers,58,1409,21.8%,0.84,1181,419,1060,39.5,43.9,11.0%,15.6%,10.3%,2.1%,38.2%,44.8
Memphis Grizzlies,58,836,13.5%,0.88,732,245,609,40.2,46,13.2%,16.0%,11.8%,2.4%,39.5%,65.5
Phoenix Suns,57,1536,23.6%,0.86,1325,497,1189,41.8,44,11.1%,13.3%,9.6%,1.9%,41.5%,58.6
Milwaukee Bucks,55,781,13.3%,0.76,596,238,586,40.6,42.9,8.6%,18.2%,7.2%,1.8%,36.9%,6.9
Cleveland Cavaliers,55,940,15.7%,0.89,837,318,729,43.6,48.4,10.0%,14.6%,9.6%,2.3%,41.3%,72.4
Philadelphia 76ers,56,763,12.3%,0.73,560,226,571,39.6,43.5,5.8%,20.8%,5.1%,1.4%,33.6%,3.4
Golden State Warriors,56,682,10.9%,0.9,612,234,506,46.2,51.1,9.5%,18.0%,7.9%,1.9%,41.3%,75.9
Minnesota Timberwolves,57,1008,16.4%,0.79,798,305,750,40.7,43.3,9.7%,17.1%,8.5%,1.3%,38.5%,20.7
