TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,422,6.9%,1.11,470,193,381,50.7,58,5.2%,5.5%,5.0%,0.9%,49.8%,89.7
Denver Nuggets,56,385,6.1%,1.1,423,165,319,51.7,57.4,10.1%,8.8%,8.3%,1.8%,50.6%,79.3
Sacramento Kings,57,413,6.8%,1,414,153,333,45.9,51.7,12.8%,8.7%,12.8%,2.4%,46.5%,37.9
Chicago Bulls,56,418,6.8%,0.89,374,163,364,44.8,45.9,7.4%,6.5%,7.4%,1.0%,45.5%,0
Atlanta Hawks,56,464,7.5%,0.96,445,174,382,45.5,49.5,11.0%,9.3%,10.1%,2.6%,45.3%,17.2
Washington Wizards,55,417,6.8%,1.06,444,185,349,53,55.3,11.0%,7.4%,11.0%,2.2%,51.8%,58.6
Los Angeles Clippers,56,475,7.8%,1.17,556,221,396,55.8,60.4,14.3%,6.1%,13.9%,4.0%,55.4%,100
Indiana Pacers,57,563,9.0%,1,561,239,499,47.9,50.8,7.3%,6.4%,7.1%,2.3%,47.2%,34.5
New Orleans Pelicans,57,538,8.4%,1.07,576,236,458,51.5,53.9,12.3%,5.8%,12.1%,3.2%,51.7%,62.1
Philadelphia 76ers,56,425,6.9%,0.93,394,152,362,42,47.1,10.1%,6.8%,9.4%,2.1%,43.1%,6.9
Dallas Mavericks,56,432,7.6%,1.12,482,200,385,51.9,56.4,8.1%,4.2%,8.1%,1.9%,52.5%,93.1
Brooklyn Nets,56,372,5.9%,1.08,401,146,305,47.9,55.4,11.3%,8.3%,11.0%,1.6%,48.4%,72.4
Charlotte Hornets,56,449,7.3%,1.03,461,180,374,48.1,52.4,12.5%,6.7%,11.6%,2.4%,48.8%,41.4
Detroit Pistons,57,408,6.7%,0.97,396,160,344,46.5,48.7,10.5%,6.9%,10.0%,1.7%,47.3%,20.7
Miami Heat,57,366,6.0%,1.05,384,152,300,50.7,53.7,14.5%,6.8%,13.9%,3.3%,51.1%,51.7
Los Angeles Lakers,58,377,5.8%,0.95,359,154,300,51.3,52.2,10.6%,11.7%,10.6%,1.9%,48.5%,10.3
Toronto Raptors,57,319,5.2%,1.09,349,140,255,54.9,57.5,12.2%,10.0%,11.6%,2.2%,53.6%,75.9
Cleveland Cavaliers,55,359,6.0%,1.08,386,139,295,47.1,52.7,15.0%,4.7%,13.9%,1.9%,50.1%,69
Portland Trail Blazers,56,337,5.5%,0.95,321,118,265,44.5,50,13.6%,9.8%,13.4%,2.7%,45.1%,13.8
Minnesota Timberwolves,57,472,7.7%,1.11,523,199,384,51.8,56,12.9%,8.1%,12.7%,2.3%,52.3%,82.8
Miami Heat,57,1127,18.4%,0.78,881,348,837,41.6,43.5,9.0%,17.7%,8.3%,1.1%,38.5%,10.3
New Orleans Pelicans,57,1158,18.0%,0.81,940,367,888,41.3,45.7,8.1%,16.9%,7.6%,1.7%,37.7%,31
Los Angeles Lakers,58,1409,21.8%,0.84,1181,419,1060,39.5,43.9,11.0%,15.6%,10.3%,2.1%,38.2%,44.8
Memphis Grizzlies,58,836,13.5%,0.88,732,245,609,40.2,46,13.2%,16.0%,11.8%,2.4%,39.5%,65.5
Phoenix Suns,57,1536,23.6%,0.86,1325,497,1189,41.8,44,11.1%,13.3%,9.6%,1.9%,41.5%,58.6
Milwaukee Bucks,55,781,13.3%,0.76,596,238,586,40.6,42.9,8.6%,18.2%,7.2%,1.8%,36.9%,6.9
Cleveland Cavaliers,55,940,15.7%,0.89,837,318,729,43.6,48.4,10.0%,14.6%,9.6%,2.3%,41.3%,72.4
Philadelphia 76ers,56,763,12.3%,0.73,560,226,571,39.6,43.5,5.8%,20.8%,5.1%,1.4%,33.6%,3.4
Golden State Warriors,56,682,10.9%,0.9,612,234,506,46.2,51.1,9.5%,18.0%,7.9%,1.9%,41.3%,75.9
Minnesota Timberwolves,57,1008,16.4%,0.79,798,305,750,40.7,43.3,9.7%,17.1%,8.5%,1.3%,38.5%,20.7
