TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,436,7.1%,1.28,558,236,365,64.7,64.7,14.2%,5.0%,14.2%,3.0%,64.7%,72.4
Denver Nuggets,56,563,8.9%,1.31,740,306,449,68.2,68.2,17.8%,6.6%,17.6%,4.3%,66.4%,89.7
Sacramento Kings,57,490,8.1%,1.16,569,249,411,60.6,60.6,12.2%,6.5%,11.8%,2.9%,59.6%,13.8
San Antonio Spurs,56,404,6.7%,1.27,514,215,334,64.4,64.4,16.1%,5.7%,16.3%,4.7%,64.6%,69
Miami Heat,57,445,7.3%,1.19,531,231,363,63.6,63.6,14.2%,7.9%,13.5%,3.6%,60.7%,24.1
Charlotte Hornets,56,515,8.4%,1.23,631,249,419,59.4,59.4,18.1%,4.5%,17.9%,3.9%,61.6%,34.5
Portland Trail Blazers,56,519,8.4%,1.15,596,254,419,60.6,60.6,13.9%,7.9%,14.5%,3.1%,58.2%,10.3
Milwaukee Bucks,55,596,10.2%,1.3,775,324,482,67.2,67.2,16.8%,5.9%,16.4%,3.7%,66.6%,79.3
Houston Rockets,58,505,7.7%,1.35,680,297,418,71.1,71.1,17.4%,7.3%,17.4%,7.7%,66.1%,96.6
Utah Jazz,57,526,9.1%,1.21,635,250,411,60.8,60.8,20.3%,6.1%,20.3%,4.8%,61.2%,27.6
Brooklyn Nets,56,394,6.3%,1.24,488,197,317,62.1,62.1,16.8%,6.6%,16.0%,3.8%,62.7%,44.8
Washington Wizards,55,453,7.4%,1.27,574,250,388,64.4,64.4,11.7%,5.3%,11.3%,2.6%,63.8%,62.1
Dallas Mavericks,56,295,5.2%,1.32,388,155,236,65.7,65.7,18.3%,4.4%,18.3%,2.7%,67.5%,93.1
Phoenix Suns,57,428,6.6%,1.21,517,204,337,60.5,60.5,19.9%,5.6%,19.9%,4.4%,61.9%,31
Golden State Warriors,56,762,12.2%,1.35,1032,444,625,71,71,16.3%,6.2%,15.6%,4.5%,68.6%,100
Indiana Pacers,57,468,7.5%,1.26,592,244,379,64.4,64.4,16.2%,6.8%,16.2%,4.5%,63.2%,55.2
Cleveland Cavaliers,55,345,5.8%,1.27,437,192,281,68.3,68.3,14.8%,9.0%,14.8%,5.2%,63.8%,58.6
Orlando Magic,58,417,6.5%,1.3,543,234,344,68,68,16.5%,5.3%,16.3%,4.6%,65.9%,86.2
Atlanta Hawks,56,487,7.9%,1.29,627,270,401,67.3,67.3,16.2%,5.5%,16.0%,4.1%,65.9%,75.9
Oklahoma City Thunder,57,494,7.7%,1.18,585,254,405,62.7,62.7,13.4%,8.1%,13.4%,3.4%,59.7%,20.7
Toronto Raptors,57,318,5.2%,1.26,400,177,272,65.1,65.1,11.9%,5.3%,11.6%,2.8%,63.8%,51.7
Los Angeles Lakers,58,487,7.5%,1.11,540,232,408,56.9,56.9,12.1%,6.2%,12.1%,2.5%,56.5%,3.4
Detroit Pistons,57,355,5.8%,1.3,462,188,286,65.7,65.7,18.6%,4.8%,18.6%,3.9%,66.5%,82.8
Minnesota Timberwolves,57,391,6.4%,1.24,483,212,324,65.4,65.4,12.3%,7.7%,12.8%,3.3%,62.1%,37.9
Philadelphia 76ers,56,448,7.2%,1.25,560,230,363,63.4,63.4,16.3%,5.1%,16.1%,2.5%,64.3%,48.3
Memphis Grizzlies,58,437,7.1%,1.11,486,206,359,57.4,57.4,13.3%,6.4%,13.0%,1.8%,57.9%,6.9
New Orleans Pelicans,57,411,6.4%,1.18,483,200,336,59.5,59.5,16.1%,5.6%,15.6%,3.4%,59.9%,17.2
Chicago Bulls,56,432,7.0%,1.09,472,198,353,56.1,56.1,12.3%,7.6%,11.6%,1.6%,55.8%,0
New York Knicks,57,454,7.1%,1.24,561,245,374,65.5,65.5,11.9%,8.4%,12.1%,3.1%,61.9%,41.4
Los Angeles Clippers,56,319,5.2%,1.27,405,161,240,67.1,67.1,21.9%,7.2%,21.3%,4.7%,65.8%,65.5
