TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,393,6.4%,0.89,348,129,315,41,46.8,7.6%,13.0%,6.9%,0.8%,39.7%,34.5
Denver Nuggets,56,383,6.0%,0.91,347,130,312,41.7,49,8.9%,11.2%,7.6%,1.8%,39.9%,48.3
Sacramento Kings,57,201,3.3%,0.99,199,76,168,45.2,51.2,8.0%,9.0%,8.0%,0.5%,45.3%,79.3
Utah Jazz,57,319,5.5%,0.98,313,109,267,40.8,48.7,9.7%,8.2%,8.8%,1.6%,42.3%,75.9
Minnesota Timberwolves,57,286,4.6%,0.97,276,103,234,44,52.4,7.0%,12.6%,6.6%,1.4%,41.6%,65.5
Portland Trail Blazers,56,391,6.4%,0.96,374,136,310,43.9,49.7,10.0%,13.0%,8.7%,2.3%,42.5%,62.1
New Orleans Pelicans,57,196,3.1%,1.02,199,76,169,45,50.9,9.2%,6.6%,8.7%,2.0%,45.4%,89.7
Dallas Mavericks,56,182,3.2%,1.01,184,71,164,43.3,51.5,5.5%,6.0%,6.0%,2.2%,42.3%,82.8
Golden State Warriors,56,192,3.1%,0.94,181,66,160,41.3,50.3,6.8%,10.9%,5.7%,1.0%,40.1%,58.6
San Antonio Spurs,56,308,5.1%,0.92,283,106,253,41.9,46.2,9.4%,10.4%,7.5%,1.9%,41.6%,51.7
Orlando Magic,58,287,4.5%,0.91,260,93,229,40.6,46.7,10.5%,11.8%,9.4%,2.1%,40.4%,44.8
Miami Heat,57,325,5.3%,0.85,275,106,278,38.1,43.7,7.4%,8.0%,6.8%,0.9%,38.5%,20.7
Brooklyn Nets,56,268,4.3%,1.01,271,98,217,45.2,55.3,8.2%,13.1%,7.5%,2.2%,42.2%,86.2
Memphis Grizzlies,58,213,3.4%,0.97,206,73,183,39.9,47.3,8.5%,6.1%,8.0%,0.5%,42.3%,69
Los Angeles Lakers,58,412,6.4%,0.98,404,138,340,40.6,49.9,8.5%,10.0%,7.5%,1.2%,40.3%,72.4
Atlanta Hawks,56,300,4.9%,0.77,231,85,242,35.1,40.1,8.0%,12.7%,7.7%,1.3%,34.7%,10.3
New York Knicks,57,229,3.6%,0.93,213,88,193,45.6,50.3,5.2%,12.2%,5.2%,1.7%,41.9%,55.2
Toronto Raptors,57,187,3.1%,0.84,158,62,158,39.2,44.3,6.4%,10.7%,4.8%,1.6%,38.0%,17.2
Washington Wizards,55,145,2.4%,0.87,126,48,125,38.4,43.6,7.6%,8.3%,7.6%,2.8%,37.9%,24.1
Cleveland Cavaliers,55,148,2.5%,1.03,153,50,120,41.7,51.3,9.5%,10.1%,8.1%,0.7%,42.6%,96.6
Los Angeles Clippers,56,290,4.8%,0.89,257,97,237,40.9,48.9,6.2%,13.4%,6.6%,2.1%,37.2%,37.9
Detroit Pistons,57,257,4.2%,0.88,225,83,213,39,44.4,8.2%,10.1%,8.2%,1.6%,38.5%,27.6
Chicago Bulls,56,251,4.1%,0.77,193,69,201,34.3,38.3,9.6%,11.6%,9.6%,1.2%,35.5%,6.9
Oklahoma City Thunder,57,195,3.0%,0.75,147,57,158,36.1,41.1,8.7%,12.8%,8.7%,2.6%,33.3%,3.4
Houston Rockets,58,210,3.2%,0.82,172,57,171,33.3,44.7,5.7%,13.3%,6.2%,1.0%,31.9%,13.8
Charlotte Hornets,56,310,5.1%,1.02,315,101,245,41.2,49.4,14.2%,9.7%,13.9%,2.9%,43.5%,93.1
Philadelphia 76ers,56,337,5.4%,0.88,298,111,275,40.4,48.4,6.5%,13.1%,5.6%,1.2%,37.7%,31
Phoenix Suns,57,205,3.1%,0.73,150,57,159,35.8,39.3,8.3%,15.1%,6.8%,1.0%,34.6%,0
Indiana Pacers,57,191,3.1%,0.9,172,67,157,42.7,47.8,6.8%,12.6%,6.8%,1.6%,40.3%,41.4
Milwaukee Bucks,55,275,4.7%,1.04,285,112,242,46.3,55.6,5.5%,8.0%,5.1%,1.5%,44.4%,100
