TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Sacramento Kings,57,530,8.8%,0.96,511,173,359,48.2,48.2,21.3%,14.3%,17.7%,4.0%,49.1%,93.1
Denver Nuggets,56,458,7.2%,0.91,418,159,336,47.3,47.3,16.2%,13.1%,14.8%,2.6%,46.9%,58.6
Boston Celtics,56,399,6.5%,0.94,375,150,305,49.2,49.2,14.0%,13.5%,12.8%,4.0%,47.4%,75.9
Atlanta Hawks,56,347,5.6%,0.9,311,104,231,45,45,24.8%,13.0%,19.9%,4.3%,48.1%,44.8
Washington Wizards,55,354,5.8%,0.9,317,126,273,46.2,46.2,13.0%,11.6%,11.9%,2.0%,46.6%,41.4
Los Angeles Clippers,56,337,5.5%,0.91,305,120,253,47.4,47.4,14.8%,13.6%,13.6%,3.6%,46.6%,55.2
Chicago Bulls,56,528,8.6%,0.95,500,204,429,47.6,47.6,12.9%,9.3%,12.1%,3.6%,47.3%,82.8
Minnesota Timberwolves,57,600,9.7%,0.92,552,218,471,46.3,46.3,13.7%,10.2%,11.7%,2.7%,46.7%,65.5
Toronto Raptors,57,322,5.3%,0.96,309,120,256,46.9,46.9,14.3%,8.7%,14.6%,2.8%,48.8%,86.2
New Orleans Pelicans,57,361,5.6%,0.87,314,111,261,42.5,42.5,16.6%,12.7%,15.0%,2.2%,44.6%,31
Dallas Mavericks,56,416,7.4%,0.94,392,157,339,46.3,46.3,13.7%,8.2%,12.3%,3.4%,47.1%,79.3
Utah Jazz,57,312,5.4%,0.87,272,105,223,47.1,47.1,13.1%,17.3%,11.5%,2.2%,44.6%,34.5
Philadelphia 76ers,56,534,8.6%,0.86,458,164,363,45.2,45.2,18.2%,17.0%,16.1%,3.4%,44.8%,24.1
Detroit Pistons,57,553,9.1%,0.8,440,192,456,42.1,42.1,8.9%,9.9%,7.6%,1.3%,40.3%,17.2
San Antonio Spurs,56,562,9.3%,0.9,506,196,437,44.9,44.9,14.1%,10.3%,13.2%,2.5%,45.9%,48.3
Oklahoma City Thunder,57,610,9.5%,0.86,526,214,441,48.5,48.5,11.8%,17.5%,11.1%,1.8%,44.6%,27.6
Memphis Grizzlies,58,746,12.0%,0.92,683,269,578,46.5,46.5,12.9%,10.9%,11.5%,1.7%,46.6%,62.1
Indiana Pacers,57,526,8.4%,0.98,515,215,444,48.4,48.4,11.6%,6.5%,10.3%,2.5%,49.4%,100
Los Angeles Lakers,58,361,5.6%,0.78,281,104,271,38.4,38.4,13.3%,14.4%,11.6%,2.8%,39.3%,10.3
Milwaukee Bucks,55,463,7.9%,0.97,447,176,352,50,50,15.3%,13.2%,14.3%,4.5%,48.4%,96.6
Cleveland Cavaliers,55,432,7.2%,0.93,401,147,319,46.1,46.1,17.6%,13.2%,13.9%,4.6%,46.5%,69
Golden State Warriors,56,297,4.8%,0.77,229,88,211,41.7,41.7,12.1%,18.5%,11.1%,1.7%,39.4%,3.4
Orlando Magic,58,542,8.5%,0.81,439,194,438,44.3,44.3,7.6%,13.1%,5.5%,1.5%,41.1%,20.7
Charlotte Hornets,56,299,4.9%,0.94,281,108,229,47.2,47.2,15.1%,11.0%,14.0%,2.7%,47.5%,72.4
Brooklyn Nets,56,470,7.5%,0.96,453,176,338,52.1,52.1,14.5%,17.2%,12.8%,3.8%,47.9%,89.7
New York Knicks,57,418,6.5%,0.87,365,127,306,41.5,41.5,16.3%,11.2%,15.1%,1.0%,45.5%,37.9
Houston Rockets,58,161,2.4%,0.78,125,52,120,43.3,43.3,11.8%,14.3%,11.2%,0.6%,41.6%,6.9
Portland Trail Blazers,56,234,3.8%,0.9,211,86,169,50.9,50.9,14.1%,17.9%,11.1%,4.3%,46.2%,51.7
Phoenix Suns,57,239,3.7%,0.74,177,64,160,40,40,14.6%,19.2%,12.1%,1.3%,39.7%,0
Miami Heat,57,331,5.4%,0.78,258,107,247,43.3,43.3,11.8%,16.0%,10.6%,2.7%,40.5%,13.8
