TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Boston Celtics,56,1400,22.9%,1.04,1461,503,1270,39.6,53,5.4%,5.0%,5.1%,1.1%,39.9%,75.9
Sacramento Kings,57,1388,22.9%,1.01,1408,490,1249,39.2,51.6,5.9%,5.5%,5.5%,1.4%,39.6%,69
Denver Nuggets,56,1232,19.4%,1.01,1245,424,1084,39.1,52.7,5.8%,6.7%,5.2%,0.5%,39.4%,62.1
Chicago Bulls,56,1141,18.5%,0.94,1074,390,1026,38,48.1,4.8%,5.8%,5.0%,0.8%,38.1%,6.9
Washington Wizards,55,1078,17.7%,1.05,1130,398,978,40.7,53.8,4.9%,5.8%,4.8%,1.5%,40.3%,82.8
Atlanta Hawks,56,1197,19.4%,0.99,1182,414,1073,38.6,50.7,5.0%,6.1%,4.5%,0.8%,38.4%,48.3
Los Angeles Clippers,56,1170,19.2%,1.07,1252,435,1048,41.5,54.5,5.9%,5.8%,5.6%,1.3%,41.7%,86.2
Cleveland Cavaliers,55,1167,19.5%,1.07,1253,414,1043,39.7,55.1,5.1%,6.1%,5.0%,0.7%,39.8%,93.1
San Antonio Spurs,56,1348,22.3%,1.09,1474,525,1200,43.8,56.2,5.7%,6.1%,5.1%,0.8%,43.8%,100
Portland Trail Blazers,56,1160,18.9%,1,1156,405,1053,38.5,51.6,4.1%,5.8%,3.9%,0.7%,38.3%,51.7
Memphis Grizzlies,58,1208,19.5%,0.95,1149,403,1099,36.7,47.8,5.7%,4.5%,5.3%,1.2%,37.9%,20.7
Charlotte Hornets,56,1264,20.7%,0.98,1245,451,1156,39,49.7,4.8%,4.6%,4.6%,0.9%,39.2%,44.8
Dallas Mavericks,56,1254,22.2%,1.04,1310,450,1142,39.4,52.4,5.5%,4.2%,5.3%,0.8%,40.5%,79.3
Brooklyn Nets,56,1514,24.1%,0.93,1410,489,1330,36.8,48.5,5.9%,7.6%,5.7%,1.4%,36.6%,3.4
Houston Rockets,58,1383,21.0%,1.04,1443,497,1284,38.7,53.7,3.3%,4.7%,3.2%,0.8%,38.3%,72.4
Orlando Magic,58,1218,19.1%,0.95,1156,423,1139,37.1,48.2,3.6%,3.6%,3.4%,0.8%,37.2%,17.2
Philadelphia 76ers,56,1388,22.4%,0.95,1322,459,1198,38.3,50.5,5.7%,9.0%,5.2%,1.1%,37.4%,24.1
Phoenix Suns,57,1081,16.6%,0.94,1021,361,969,37.3,48.7,5.0%,6.3%,4.0%,0.9%,37.3%,13.8
Miami Heat,57,1325,21.6%,0.96,1275,449,1209,37.1,49.6,4.1%,5.6%,3.5%,0.9%,37.0%,34.5
Los Angeles Lakers,58,951,14.7%,0.97,918,320,856,37.4,49,5.7%,5.5%,5.6%,1.3%,37.7%,37.9
Milwaukee Bucks,55,1197,20.4%,1,1199,428,1086,39.4,51.4,5.0%,5.2%,4.9%,1.0%,39.5%,55.2
New York Knicks,57,1292,20.2%,1.01,1307,472,1189,39.7,51.9,3.7%,5.0%,3.6%,0.7%,39.6%,65.5
Utah Jazz,57,1310,22.6%,0.94,1237,441,1144,38.5,50.6,4.4%,8.9%,3.9%,0.6%,37.3%,10.3
Minnesota Timberwolves,57,1248,20.3%,0.95,1191,428,1117,38.3,48.9,5.6%,5.8%,5.1%,1.0%,38.5%,27.6
Detroit Pistons,57,1061,17.4%,0.96,1016,375,973,38.5,49.6,3.6%,5.6%,3.5%,0.9%,37.9%,31
Indiana Pacers,57,999,16.0%,1.07,1070,390,925,42.2,55.1,3.5%,4.5%,3.3%,0.7%,41.6%,89.7
Golden State Warriors,56,990,15.9%,1.09,1078,372,899,41.4,55.5,4.3%,5.4%,4.0%,0.5%,41.2%,96.6
Toronto Raptors,57,1149,18.8%,1,1154,405,1055,38.4,50.9,5.0%,4.1%,4.9%,0.9%,38.7%,58.6
New Orleans Pelicans,57,1384,21.6%,0.98,1362,486,1244,39.1,50.8,5.1%,5.8%,4.7%,0.8%,39.2%,41.4
Oklahoma City Thunder,57,1081,16.8%,0.92,992,347,993,34.9,47.4,3.8%,5.0%,3.7%,0.8%,34.7%,0
