TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,"AND ONE
FREQ",SCORE FREQ,PERCENTILE
Golden State Warriors,56,1140,18.3%,1.25,1421,510,892,57.2,67.5,12.5%,11.6%,11.3%,2.5%,54.8%,100
Houston Rockets,58,1193,18.1%,1.09,1306,483,926,52.2,62,10.1%,14.3%,9.6%,2.2%,47.8%,48.3
Oklahoma City Thunder,57,1084,16.8%,1.07,1165,422,788,53.6,58,16.5%,13.0%,15.2%,2.5%,51.9%,34.5
Phoenix Suns,57,1088,16.7%,1.12,1218,454,845,53.7,59.1,14.0%,11.1%,13.1%,2.8%,52.2%,62.1
Cleveland Cavaliers,55,991,16.5%,1.19,1182,425,749,56.7,66.3,14.8%,12.8%,13.4%,3.4%,53.4%,89.7
Milwaukee Bucks,55,941,16.0%,1.16,1096,390,683,57.1,62.9,17.5%,13.1%,15.8%,3.2%,55.2%,82.8
Toronto Raptors,57,843,13.8%,1.18,993,354,646,54.8,61.6,14.9%,10.7%,14.1%,2.4%,54.2%,86.2
New Orleans Pelicans,57,974,15.2%,1.04,1015,376,764,49.2,54.8,14.3%,11.0%,13.7%,3.9%,48.2%,17.2
Detroit Pistons,57,857,14.0%,1.09,931,365,696,52.4,59.1,10.3%,10.9%,9.9%,2.6%,49.6%,41.4
Los Angeles Lakers,58,892,13.8%,1.06,947,368,696,52.9,58.6,10.9%,13.8%,10.7%,2.9%,48.3%,31
Sacramento Kings,57,800,13.2%,1.08,867,328,608,53.9,59.3,13.1%,13.5%,12.3%,2.9%,50.3%,37.9
Indiana Pacers,57,872,14.0%,1.06,920,328,635,51.7,56.9,15.3%,14.3%,13.8%,2.6%,49.7%,24.1
Chicago Bulls,56,744,12.1%,1.13,842,309,564,54.8,58.7,16.7%,11.2%,15.7%,3.8%,54.3%,69
Orlando Magic,58,949,14.9%,1.05,998,377,722,52.2,56.9,15.0%,12.0%,14.6%,3.3%,50.4%,20.7
Brooklyn Nets,56,942,15.0%,1.06,994,350,691,50.7,57.5,14.6%,15.2%,13.3%,3.3%,48.0%,27.6
Washington Wizards,55,878,14.4%,1.19,1048,397,703,56.5,63.6,12.3%,10.5%,11.0%,3.0%,53.9%,93.1
Denver Nuggets,56,907,14.3%,1.04,940,344,686,50.1,56.3,13.3%,14.2%,11.6%,3.3%,47.3%,10.3
Miami Heat,57,808,13.2%,1.12,901,331,625,53,59.5,15.0%,10.9%,13.7%,3.3%,51.7%,58.6
Portland Trail Blazers,56,715,11.6%,1.14,814,308,565,54.5,61.2,12.6%,11.6%,11.2%,3.2%,51.9%,79.3
Los Angeles Clippers,56,735,12.0%,1.13,832,306,564,54.3,61.6,13.6%,12.1%,12.2%,3.0%,51.4%,75.9
Minnesota Timberwolves,57,845,13.7%,1.12,946,355,595,59.7,62.3,16.8%,16.1%,15.6%,3.7%,54.6%,65.5
Philadelphia 76ers,56,952,15.4%,0.99,943,350,727,48.1,55.4,10.7%,14.9%,10.0%,2.1%,44.5%,0
Atlanta Hawks,56,761,12.3%,1.04,793,296,573,51.7,57.7,12.7%,13.7%,11.8%,1.8%,48.6%,13.8
New York Knicks,57,869,13.6%,1,869,328,684,48,54.8,10.4%,12.7%,9.7%,1.7%,45.6%,3.4
Memphis Grizzlies,58,652,10.5%,1.13,738,257,489,52.6,60.5,15.3%,11.3%,13.5%,2.0%,51.8%,72.4
San Antonio Spurs,56,718,11.9%,1.11,797,303,561,54,61.4,10.7%,12.8%,10.0%,1.8%,50.6%,55.2
Utah Jazz,57,531,9.2%,1.22,650,245,402,60.9,67,14.7%,12.1%,13.4%,2.6%,57.8%,96.6
Charlotte Hornets,56,629,10.3%,1.1,691,242,469,51.6,56.3,16.4%,11.6%,15.6%,2.5%,52.1%,51.7
Boston Celtics,56,760,12.4%,1.09,826,297,576,51.6,57.8,13.9%,12.1%,12.6%,2.4%,50.1%,44.8
Dallas Mavericks,56,473,8.4%,1.03,489,173,373,46.4,54.2,11.8%,11.2%,11.4%,1.9%,46.1%,6.9
