PLAYER,TEAM,GP,W,L,MIN,TOUCHES,POST UPS,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Zaza Pachulia,GSW,70,58,12,1268,2141,236,73,117,62.4,40,54,74.1,186,78.8,62,26.3,17,7.2,13,5.5,37,15.7
Zach Randolph,MEM,73,38,35,1786,3386,276,117,179,65.4,22,33,66.7,256,92.8,48,17.4,12,4.3,13,4.7,28,10.1
Zach LaVine,MIN,47,16,31,1749,2722,16,3,7,42.9,0,0,0,6,37.5,8,50,1,6.3,0,0,1,6.3
Yogi Ferrell,DAL,46,18,28,1197,2632,18,2,3,66.7,1,1,100,5,27.8,14,77.8,2,11.1,1,5.6,2,11.1
Wilson Chandler,DEN,70,34,36,2165,3395,139,53,79,67.1,23,29,79.3,129,92.8,32,23,1,0.7,5,3.6,23,16.5
Willy Hernangomez,NYK,72,27,45,1324,2802,252,93,151,61.6,29,38,76.3,215,85.3,46,18.3,10,4,17,6.7,23,9.1
Willie Reed,MIA,71,39,32,1031,1095,164,69,111,62.2,20,35,57.1,158,96.3,23,14,3,1.8,5,3,21,12.8
Willie Cauley-Stein,SAC,75,29,46,1421,2046,282,120,195,61.5,23,33,69.7,263,93.3,47,16.7,9,3.2,13,4.6,25,8.9
Will Barton,DEN,59,30,29,1681,2713,52,20,27,74.1,6,9,66.7,46,88.5,16,30.8,5,9.6,2,3.8,7,13.5
Wesley Matthews,DAL,72,28,44,2482,3593,43,14,20,70,6,6,100,34,79.1,16,37.2,3,7,0,0,5,11.6
Wesley Johnson,LAC,68,40,28,810,1259,20,7,14,50,2,2,100,16,80,6,30,1,5,0,0,1,5
Wayne Selden,MEM,14,6,8,236,250,2,0,0,0,3,4,75,3,150,0,0,0,0,0,0,2,100
Wayne Ellington,MIA,62,35,27,1500,1739,16,3,4,75,0,0,0,6,37.5,8,50,1,6.3,1,6.3,0,0
Wade Baldwin IV,MEM,33,18,15,405,924,8,2,3,66.7,1,1,100,5,62.5,4,50,0,0,1,12.5,1,12.5
Vince Carter,MEM,73,36,37,1800,2569,46,15,26,57.7,6,8,75,36,78.3,14,30.4,1,2.2,0,0,5,10.9
Victor Oladipo,OKC,67,39,28,2223,3129,71,31,42,73.8,10,13,76.9,72,101.4,16,22.5,3,4.2,5,7,8,11.3
Udonis Haslem,MIA,16,6,10,130,174,16,3,6,50,2,2,100,8,50,5,31.3,0,0,3,18.8,1,6.3
Tyus Jones,MIN,60,23,37,774,1551,8,1,2,50,0,0,0,2,25,6,75,1,12.5,0,0,0,0
Tyson Chandler,PHX,45,14,31,1229,1957,180,78,104,75,27,36,75,183,101.7,33,18.3,3,1.7,7,3.9,26,14.4
Tyreke Evans,SAC,40,17,23,788,1772,17,4,7,57.1,0,0,0,8,47.1,9,52.9,1,5.9,1,5.9,0,0
Tyler Zeller,BOS,51,32,19,525,819,82,29,53,54.7,9,17,52.9,67,81.7,17,20.7,1,1.2,2,2.4,12,14.6
Tyler Ulis,PHX,59,14,45,1103,2619,20,1,2,50,0,0,0,2,10,16,80,0,0,0,0,0,0
Tyler Johnson,MIA,73,35,38,2177,4174,67,15,30,50,7,11,63.6,37,55.2,27,40.3,7,10.4,2,3,7,10.4
