Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,hW/L%,hFGA,hFTA,hPF,hPTS,aW/L%,aFGA,aFTA,aPF,aPTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Bennie Adams,NBA,63,161.7,48.0,44.8,188.8,+0.5,-1.7,+0.1,-0.8,.619,80.5,24.5,22.2,96.6,.381,81.2,23.4,22.7,92.2,+.238,-0.7,+1.1,-0.5,+4.5,+.042,-1.0,+0.5,-0.2,+1.6
Hank Armstrong,NBA,57,157.3,51.7,46.6,188.6,-3.9,+2.0,+1.9,-1.0,.509,78.5,25.9,22.9,94.7,.491,78.8,25.9,23.6,93.9,+.018,-0.3,0.0,-0.7,+0.8,-.178,-0.6,-0.6,-0.4,-2.1
Dick Bavetta,NBA,69,160.4,48.9,46.1,191.1,-0.8,-0.8,+1.4,+1.5,.580,80.7,25.3,22.8,96.5,.420,79.7,23.6,23.3,94.6,+.159,+1.0,+1.8,-0.5,+1.9,-.037,+0.7,+1.2,-0.2,-1.0
Gary Benson,NBA,61,157.9,49.4,45.1,186.8,-3.3,-0.3,+0.4,-2.8,.541,79.4,25.1,22.6,94.8,.459,78.5,24.3,22.5,92.0,+.082,+0.9,+0.8,+0.2,+2.8,-.114,+0.6,+0.2,+0.5,-0.1
Ted Bernhardt,NBA,65,159.2,51.0,46.2,188.6,-2.0,+1.3,+1.5,-1.0,.723,79.0,26.8,22.8,96.8,.277,80.3,24.2,23.4,91.8,+.446,-1.3,+2.6,-0.6,+5.0,+.250,-1.6,+2.0,-0.3,+2.1
Tony Brothers,NBA,61,160.6,47.3,43.8,189.0,-0.6,-2.4,-0.9,-0.6,.590,81.1,24.0,22.0,95.1,.410,79.5,23.3,21.8,93.9,+.180,+1.6,+0.6,+0.2,+1.2,-.016,+1.3,0.0,+0.5,-1.7
Mike Callahan,NBA,66,164.7,48.3,44.2,190.9,+3.5,-1.4,-0.5,+1.3,.727,83.6,24.8,21.6,98.9,.273,81.1,23.5,22.6,92.0,+.455,+2.5,+1.3,-1.0,+6.9,+.259,+2.2,+0.7,-0.7,+4.0
James Capers Jr.,NBA,63,160.9,47.7,42.1,186.7,-0.3,-2.0,-2.6,-2.9,.603,82.1,24.3,20.6,94.5,.397,78.8,23.3,21.5,92.2,+.206,+3.3,+1.0,-0.9,+2.3,+.010,+3.0,+0.4,-0.6,-0.6
Jim Clark,NBA,59,162.1,51.9,44.7,187.6,+0.9,+2.2,0.0,-2.0,.542,81.2,25.7,22.3,93.9,.458,80.9,26.2,22.3,93.7,+.085,+0.3,-0.5,0.0,+0.3,-.111,0.0,-1.1,+0.3,-2.6
Sean Corbin,NBA,65,161.2,52.3,44.2,191.8,0.0,+2.6,-0.5,+2.2,.615,81.5,26.2,21.9,98.3,.385,79.7,26.1,22.2,93.5,+.231,+1.8,+0.1,-0.3,+4.8,+.035,+1.5,-0.5,0.0,+1.9
Dan Crawford,NBA,68,163.4,49.4,43.2,186.9,+2.2,-0.3,-1.5,-2.7,.574,81.3,24.9,21.3,94.9,.426,82.1,24.5,22.0,92.0,+.147,-0.9,+0.4,-0.7,+2.9,-.049,-1.2,-0.2,-0.4,0.0
Joe Crawford,NBA,64,164.4,43.2,40.0,183.7,+3.2,-6.5,-4.7,-5.9,.672,82.3,21.7,19.9,93.0,.328,82.0,21.4,20.0,90.6,+.344,+0.3,+0.3,-0.1,+2.4,+.148,0.0,-0.3,+0.2,-0.5
