PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Gray,TOR,27,258,409,63.1,79,193,40.9,192,440,43.6,18,43,41.9,12,38,31.6,68,190,35.8
Al Horford,ATL,26,117,196,59.7,19,63,30.2,61,176,34.7,12,24,50,5,14,35.7,35,88,39.8
Al Jefferson,UTA,27,703,1140,61.7,200,580,34.5,381,925,41.2,34,107,31.8,43,110,39.1,193,568,34
Amar'e Stoudemire,NYK,29,535,879,60.9,124,363,34.2,295,769,38.4,41,75,54.7,23,60,38.3,153,419,36.5
Amir Johnson,TOR,25,459,837,54.8,125,361,34.6,298,749,39.8,23,74,31.1,28,77,36.4,140,435,32.2
Anderson Varejao,CLE,29,267,415,64.3,81,190,42.6,166,407,40.8,16,45,35.6,22,55,40,67,190,35.3
Andrea Bargnani,TOR,26,356,596,59.7,74,216,34.3,184,464,39.7,16,48,33.3,16,48,33.3,103,318,32.4
Andrew Bogut,MIL,27,99,184,53.8,32,101,31.7,81,192,42.2,8,19,42.1,7,20,35,23,84,27.4
Andrew Bynum,LAL,24,675,1128,59.8,206,553,37.3,506,1318,38.4,40,100,40,23,77,29.9,206,597,34.5
Andris Biedrins,GSW,26,234,387,60.5,76,209,36.4,167,391,42.7,14,33,42.4,10,36,27.8,91,207,44
Ben Wallace,DET,37,243,416,58.4,81,188,43.1,209,537,38.9,14,38,36.8,18,41,43.9,101,281,35.9
Bismack Biyombo,CHA,19,602,1000,60.2,131,346,37.9,252,648,38.9,24,64,37.5,38,93,40.9,123,368,33.4
Boris Diaw,SAS,30,533,910,58.6,147,357,41.2,280,691,40.5,26,66,39.4,31,74,41.9,116,362,32
Brad Miller,MIN,36,56,79,70.9,12,34,35.3,29,77,37.7,4,10,40,2,7,28.6,12,36,33.3
Brendan Haywood,DAL,32,372,579,64.2,111,318,34.9,233,653,35.7,17,49,34.7,12,49,24.5,113,301,37.5
Brian Cook,WAS,31,75,133,56.4,33,78,42.3,61,156,39.1,3,9,33.3,7,13,53.8,16,69,23.2
Brian Skinner,MEM,36,1,2,50,0,0,0,3,3,100,-,-,-,1,1,100,0,1,0
Brook Lopez,NJN,24,55,86,64,17,34,50,22,60,36.7,4,12,33.3,1,9,11.1,14,41,34.1
Byron Mullens,CHA,23,674,1064,63.3,122,326,37.4,245,632,38.8,28,61,45.9,30,75,40,120,386,31.1
Channing Frye,PHX,29,517,813,63.6,247,620,39.8,412,1041,39.6,38,92,41.3,36,74,48.6,124,377,32.9
Charles Hayes,SAC,29,365,569,64.1,112,309,36.2,237,536,44.2,20,50,40,15,47,31.9,97,302,32.1
Chris Andersen,DEN,33,165,293,56.3,40,112,35.7,92,247,37.2,9,24,37.5,10,42,23.8,65,162,40.1
Chris Kaman,NOH,30,499,816,61.2,136,310,43.9,217,605,35.9,22,87,25.3,26,86,30.2,124,382,32.5
Chris Wilcox,BOS,29,181,309,58.6,36,111,32.4,85,232,36.6,9,24,37.5,4,16,25,29,105,27.6
Cole Aldrich,OKC,23,61,110,55.5,11,38,28.9,27,84,32.1,2,7,28.6,3,9,33.3,22,51,43.1
Dan Gadzuric,NYK,34,5,7,71.4,1,2,50,2,6,33.3,0,0,0,-,-,-,1,3,33.3
Daniel Orton,ORL,21,64,103,62.1,16,42,38.1,41,100,41,1,6,16.7,5,12,41.7,16,46,34.8
Darko Milicic,MIN,27,143,230,62.2,50,134,37.3,129,318,40.6,6,22,27.3,6,19,31.6,36,105,34.3
Darryl Watkins,NOH,27,26,46,56.5,15,27,55.6,15,47,31.9,6,12,50,2,6,33.3,10,30,33.3
David Lee,GSW,29,729,1216,60,256,635,40.3,414,1008,41.1,41,98,41.8,30,91,33,233,618,37.7
DeAndre Jordan,LAC,23,571,911,62.7,181,447,40.5,317,929,34.1,43,100,43,37,94,39.4,170,509,33.4
DeJuan Blair,SAS,23,459,747,61.4,155,371,41.8,329,823,40,29,68,42.6,19,59,32.2,129,330,39.1
DeMarcus Cousins,SAC,21,796,1173,67.9,218,539,40.4,384,997,38.5,40,109,36.7,48,112,42.9,171,490,34.9
DeSagana Diop,CHA,30,124,219,56.6,28,73,38.4,63,143,44.1,5,15,33.3,8,19,42.1,22,65,33.8
Derrick Favors,UTA,20,410,677,60.6,123,364,33.8,244,597,40.9,28,76,36.8,28,76,36.8,145,432,33.6
Dexter Pittman,MIA,24,76,146,52.1,27,65,41.5,53,137,38.7,6,16,37.5,7,17,41.2,28,80,35
Drew Gooden,MIL,30,614,956,64.2,145,336,43.2,323,762,42.4,34,88,38.6,28,74,37.8,146,392,37.2
Dwight Howard,ORL,26,522,892,58.5,197,529,37.2,484,1230,39.3,47,109,43.1,36,97,37.1,199,594,33.5
Earl Barron,GSW,30,2,3,66.7,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0
Eddy Curry,MIA,29,37,45,82.2,8,18,44.4,19,49,38.8,0,4,0,4,6,66.7,11,22,50
