PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,1,1,100,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Aaron Brooks,IND,32,2,9,22.2,1,2,50,1,2,50,0,0,0,0,1,0,2,8,25
Aaron Gordon,ORL,21,30,40,75,2,8,25,1,2,50,2,4,50,1,2,50,4,10,40
Aaron Harrison,CHA,22,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
Adreian Payne,MIN,25,0,0,0,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0
Al Horford,BOS,30,13,15,86.7,1,1,100,2,5,40,0,0,0,0,1,0,3,7,42.9
Al Jefferson,IND,32,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,POR,26,8,18,44.4,0,1,0,0,0,0,0,0,0,0,1,0,2,10,20
Alan Anderson,LAC,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alan Williams,PHX,24,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,25,6,9,66.7,2,2,100,1,1,100,0,0,0,0,0,0,1,2,50
Alex Abrines,OKC,23,6,11,54.5,1,1,100,0,1,0,2,4,50,0,1,0,4,9,44.4
Alex Len,PHX,23,8,11,72.7,3,3,100,0,2,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,1,1,100,1,2,50,0,2,0,0,0,0,0,0,0,0,0,0
Allen Crabbe,POR,24,14,19,73.7,0,1,0,3,5,60,2,5,40,0,3,0,8,16,50
Alonzo Gee,DEN,29,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,BOS,29,8,11,72.7,3,5,60,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Varejao,GSW,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Drummond,DET,23,19,26,73.1,2,8,25,3,3,100,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,33,18,29,62.1,0,1,0,0,1,0,0,0,0,0,2,0,1,1,100
Andre Roberson,OKC,25,39,57,68.4,0,1,0,0,0,0,1,4,25,0,5,0,0,1,0
Andrew Bogut,DAL,32,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,7,10,70,2,3,66.7,0,1,0,1,1,100,0,0,0,4,11,36.4
Andrew Nicholson,WAS,27,1,2,50,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Andrew Wiggins,MIN,21,38,47,80.9,3,6,50,4,13,30.8,0,0,0,0,0,0,3,9,33.3
Anthony Bennett,BKN,23,3,6,50,0,0,0,0,0,0,0,0,0,0,0,0,1,4,25
Anthony Brown,ORL,24,1,3,33.3,1,1,100,1,1,100,0,1,0,-,-,-,1,8,12.5
Anthony Davis,NOP,23,27,42,64.3,5,13,38.5,4,14,28.6,1,1,100,0,0,0,1,2,50
Anthony Morrow,OKC,31,4,5,80,0,2,0,3,4,75,0,1,0,1,7,14.3,5,12,41.7
Anthony Tolliver,SAC,31,3,3,100,0,0,0,0,2,0,1,1,100,0,5,0,4,11,36.4
Archie Goodwin,NOP,22,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0
Arinze Onuaku,ORL,29,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0
Aron Baynes,DET,30,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,4,10,40,1,3,33.3,3,7,42.9,1,2,50,1,2,50,0,4,0
Austin Rivers,LAC,24,12,21,57.1,0,4,0,0,1,0,0,0,0,1,2,50,2,10,20
Avery Bradley,BOS,26,16,26,61.5,1,5,20,5,14,35.7,4,8,50,1,3,33.3,10,22,45.5
Ben McLemore,SAC,23,13,16,81.3,1,2,50,1,1,100,1,1,100,2,3,66.7,2,7,28.6
Beno Udrih,DET,34,5,10,50,2,3,66.7,2,6,33.3,0,0,0,0,0,0,1,2,50
Bismack Biyombo,ORL,24,10,19,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Griffin,LAC,27,34,50,68,2,6,33.3,3,4,75,0,0,0,0,0,0,0,0,0
Boban Marjanovic,DET,28,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
