PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,2,6,33.3,2,3,66.7,0,2,0,1,1,100,0,1,0,2,6,33.3
Aaron Brooks,IND,32,12,21,57.1,5,10,50,8,24,33.3,2,3,66.7,2,8,25,7,25,28
Aaron Gordon,ORL,21,37,75,49.3,19,42,45.2,24,54,44.4,4,12,33.3,2,10,20,14,44,31.8
Aaron Harrison,CHA,22,2,2,100,0,0,0,0,1,0,-,-,-,0,0,0,0,2,0
Adreian Payne,MIN,25,5,8,62.5,0,1,0,1,1,100,2,2,100,0,1,0,1,3,33.3
Al Horford,BOS,30,21,46,45.7,12,34,35.3,28,69,40.6,4,7,57.1,0,5,0,20,63,31.7
Al Jefferson,IND,32,13,24,54.2,6,12,50,7,19,36.8,1,1,100,3,7,42.9,8,26,30.8
Al-Farouq Aminu,POR,26,18,37,48.6,6,26,23.1,26,53,49.1,2,9,22.2,0,4,0,14,34,41.2
Alan Anderson,LAC,34,6,9,66.7,3,5,60,3,8,37.5,0,4,0,0,0,0,2,9,22.2
Alan Williams,PHX,24,5,6,83.3,0,0,0,3,7,42.9,0,0,0,0,1,0,5,9,55.6
Alec Burks,UTA,25,6,7,85.7,0,2,0,4,9,44.4,-,-,-,1,4,25,2,7,28.6
Alex Abrines,OKC,23,16,24,66.7,8,18,44.4,12,31,38.7,1,7,14.3,1,2,50,10,29,34.5
Alex Len,PHX,23,19,36,52.8,17,27,63,15,46,32.6,3,5,60,2,3,66.7,12,36,33.3
Alexis Ajinca,NOP,28,8,13,61.5,2,6,33.3,4,11,36.4,1,3,33.3,0,1,0,2,10,20
Allen Crabbe,POR,24,29,57,50.9,14,40,35,28,73,38.4,2,7,28.6,0,7,0,19,50,38
Alonzo Gee,DEN,29,3,5,60,2,3,66.7,2,9,22.2,0,0,0,0,0,0,0,2,0
Amir Johnson,BOS,29,19,38,50,16,34,47.1,23,42,54.8,2,8,25,0,1,0,16,47,34
Anderson Varejao,GSW,34,1,2,50,0,1,0,3,6,50,0,2,0,-,-,-,1,3,33.3
Andre Drummond,DET,23,37,65,56.9,20,40,50,33,71,46.5,3,7,42.9,1,7,14.3,16,55,29.1
Andre Iguodala,GSW,33,37,56,66.1,13,49,26.5,14,54,25.9,0,7,0,2,7,28.6,14,52,26.9
Andre Roberson,OKC,25,39,79,49.4,15,49,30.6,30,76,39.5,6,17,35.3,4,10,40,14,75,18.7
Andrew Bogut,DAL,32,13,21,61.9,5,13,38.5,11,27,40.7,2,4,50,1,1,100,5,12,41.7
