PLAYER,TEAM,AGE,GP,MIN,SCREEN,DEFLECTIONS,LOOSEÊBALLS,CHARGES,CONTESTED,CONTESTED,CONTESTED
AJ Hammons,DAL,24,22,163,22,5,2,0,44,8,52
Aaron Brooks,IND,32,65,894,14,51,19,8,101,101,202
Aaron Gordon,ORL,21,80,2313,39,115,55,5,317,177,494
Aaron Harrison,CHA,22,5,17,0,0,0,0,2,0,2
Adreian Payne,MIN,26,18,135,6,11,1,0,24,20,44
Al Horford,BOS,30,68,2193,226,98,71,0,638,246,884
Al Jefferson,IND,32,66,931,112,40,21,9,245,35,280
Al-Farouq Aminu,POR,26,61,1773,105,106,49,1,418,176,594
Alan Anderson,LAC,34,30,308,1,9,9,0,16,35,51
Alan Williams,PHX,24,47,708,98,45,25,0,267,43,310
Alec Burks,UTA,25,42,653,3,32,18,0,66,59,125
Alex Abrines,OKC,23,68,1055,13,59,19,1,151,93,244
Alex Len,PHX,23,77,1560,254,65,35,0,705,103,808
Alex Poythress,PHI,23,6,157,6,10,3,0,19,16,35
Alexis Ajinca,NOP,29,39,584,66,46,19,1,193,39,232
Allen Crabbe,POR,25,79,2254,23,111,51,0,214,160,374
Alonzo Gee,DEN,29,13,89,0,7,3,0,11,9,20
Amir Johnson,BOS,30,80,1608,191,105,46,5,526,76,602
Anderson Varejao,GSW,34,14,92,15,6,2,0,29,10,39
Andre Drummond,DET,23,81,2434,351,231,63,2,617,120,737
Andre Iguodala,GSW,33,76,1998,59,164,62,2,226,160,386
Andre Roberson,OKC,25,79,2376,23,194,56,0,550,235,785
Andrew Bogut,CLE,32,27,583,78,31,5,13,152,12,164
Andrew Harrison,MEM,22,72,1474,8,109,49,7,181,173,354
Andrew Nicholson,BKN,27,38,342,34,22,5,0,90,30,120
Andrew Wiggins,MIN,22,82,3048,29,137,82,0,363,396,759
Anthony Bennett,BKN,24,23,264,14,9,2,0,56,36,92
Anthony Brown,ORL,24,11,159,1,9,6,0,16,20,36
Anthony Davis,NOP,24,75,2708,246,178,82,9,742,269,1011
Anthony Morrow,CHI,31,49,714,1,43,23,0,41,46,87
Anthony Tolliver,SAC,31,65,1477,71,71,33,13,243,136,379
Archie Goodwin,BKN,22,15,214,0,13,6,0,32,28,60
Arinze Onuaku,ORL,29,8,28,1,3,0,0,5,0,5
Aron Baynes,DET,30,75,1163,212,32,22,13,399,61,460
Arron Afflalo,SAC,31,61,1580,15,34,15,0,147,149,296
Austin Rivers,LAC,24,74,2054,7,110,47,2,229,122,351
Avery Bradley,BOS,26,55,1835,24,147,66,0,163,140,303
Axel Toupane,NOP,24,4,47,0,6,0,0,1,5,6
Ben Bentil,DAL,22,3,10,0,0,0,0,2,1,3
Ben McLemore,SAC,24,61,1176,11,79,25,3,115,125,240
Beno Udrih,DET,34,39,560,4,32,12,1,60,49,109
Bismack Biyombo,ORL,24,81,1793,242,54,54,0,603,109,712
Blake Griffin,LAC,28,61,2076,157,107,78,9,322,183,505
Boban Marjanovic,DET,28,35,293,39,12,5,0,100,9,109
Bobby Brown,HOU,32,25,123,1,2,2,1,4,13,17
Bobby Portis,CHI,22,64,1001,57,39,23,0,202,142,344
Bojan Bogdanovic,WAS,28,81,2083,6,69,57,1,283,236,519
Boris Diaw,UTA,35,73,1283,78,39,22,0,214,92,306
Bradley Beal,WAS,23,77,2684,19,191,92,6,273,338,611
Brandan Wright,MEM,29,28,447,44,24,10,0,126,36,162
Brandon Bass,LAC,32,52,577,60,30,20,0,110,45,155
Brandon Ingram,LAL,19,79,2279,12,94,57,2,314,240,554
Brandon Jennings,WAS,27,81,1801,3,153,53,1,92,123,215
Brandon Knight,PHX,25,54,1140,2,41,30,3,102,122,224
Brandon Rush,MIN,31,47,1030,10,42,16,3,124,99,223
Brian Roberts,CHA,31,41,416,5,26,11,3,36,42,78
Briante Weber,CHA,24,20,205,3,40,14,0,14,18,32
Brice Johnson,LAC,22,3,9,1,2,0,0,4,1,5
Brook Lopez,BKN,29,75,2222,162,81,59,0,935,161,1096
