Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,hW/L%,hFGA,hFTA,hPF,hPTS,aW/L%,aFGA,aFTA,aPF,aPTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Bruce Alexander,NBA,64,178.0,48.7,42.1,207.1,+3.3,-4.7,-2.4,-3.5,.625,89.3,24.9,20.6,105.8,.375,88.8,23.8,21.5,101.3,+.250,+0.5,+1.1,-0.8,+4.4,-.013,+0.3,-0.9,+0.5,-0.1
Hank Armstrong,NBA,56,172.1,55.2,46.6,212.0,-2.6,+1.8,+2.1,+1.4,.714,85.1,29.8,22.1,108.9,.286,87.0,25.4,24.4,103.1,+.429,-1.9,+4.4,-2.3,+5.8,+.166,-2.1,+2.4,-1.0,+1.3
Dick Bavetta,NBA,74,172.6,54.2,44.6,211.7,-2.1,+0.8,+0.1,+1.1,.473,86.6,27.2,22.1,106.3,.527,86.0,27.0,22.4,105.4,-.054,+0.6,+0.2,-0.3,+1.0,-.317,+0.4,-1.8,+1.0,-3.5
Gary Benson,NBA,57,174.9,55.8,46.6,211.2,+0.2,+2.4,+2.1,+0.6,.754,88.1,29.4,22.0,110.2,.246,86.8,26.4,24.7,101.0,+.509,+1.3,+3.0,-2.7,+9.1,+.246,+1.1,+1.0,-1.4,+4.6
Ted Bernhardt,NBA,59,173.0,56.8,46.3,214.5,-1.7,+3.4,+1.8,+3.9,.661,86.2,30.4,21.9,109.9,.339,86.8,26.4,24.3,104.6,+.322,-0.6,+3.9,-2.4,+5.4,+.059,-0.8,+1.9,-1.1,+0.9
Joe Borgia,NBA,53,175.6,53.3,43.8,210.7,+0.9,-0.1,-0.7,+0.1,.547,87.5,27.7,21.6,107.2,.453,88.0,25.7,22.2,103.5,+.094,-0.5,+2.0,-0.6,+3.6,-.169,-0.7,0.0,+0.7,-0.9
Mike Callahan,NBA,52,173.7,55.0,45.7,208.0,-1.0,+1.6,+1.2,-2.6,.615,87.1,29.0,22.3,106.7,.385,86.6,26.0,23.3,101.3,+.231,+0.6,+3.0,-1.0,+5.5,-.032,+0.4,+1.0,+0.3,+1.0
James Capers Sr.,NBA,59,173.4,50.2,44.5,206.5,-1.3,-3.2,0.0,-4.1,.610,86.8,25.7,21.7,105.6,.390,86.6,24.5,22.8,100.9,+.220,+0.1,+1.2,-1.1,+4.6,-.043,-0.1,-0.8,+0.2,+0.1
Jim Clark,NBA,64,173.2,53.0,44.2,205.5,-1.5,-0.4,-0.3,-5.1,.672,86.6,27.1,21.7,105.8,.328,86.7,25.9,22.6,99.7,+.344,-0.1,+1.2,-0.9,+6.2,+.081,-0.3,-0.8,+0.4,+1.7
Mike Costabile,NBA,46,179.1,52.7,43.5,214.4,+4.4,-0.7,-1.0,+3.8,.565,89.8,27.3,21.5,110.1,.435,89.3,25.4,22.0,104.4,+.130,+0.5,+1.9,-0.6,+5.7,-.133,+0.3,-0.1,+0.7,+1.2
Dan Crawford,NBA,73,177.4,52.9,44.0,214.9,+2.7,-0.5,-0.5,+4.3,.685,88.5,28.2,20.9,110.5,.315,88.8,24.7,23.2,104.4,+.370,-0.3,+3.4,-2.3,+6.1,+.107,-0.5,+1.4,-1.0,+1.6
Joe Crawford,NBA,75,182.2,47.7,39.4,209.9,+7.5,-5.7,-5.1,-0.7,.693,90.6,25.2,18.9,108.7,.307,91.6,22.5,20.5,101.3,+.387,-1.0,+2.7,-1.5,+7.4,+.124,-1.2,+0.7,-0.2,+2.9
Bob Delaney,NBA,66,174.0,52.9,44.2,212.1,-0.7,-0.5,-0.3,+1.5,.636,87.4,27.7,21.2,109.4,.364,86.6,25.2,23.0,102.7,+.273,+0.8,+2.5,-1.8,+6.8,+.010,+0.6,+0.5,-0.5,+2.3
Joe Derosa,NBA,53,177.5,49.5,41.6,205.7,+2.8,-3.9,-2.9,-4.9,.642,88.7,26.1,19.8,105.5,.358,88.9,23.4,21.8,100.2,+.283,-0.2,+2.6,-2.0,+5.3,+.020,-0.4,+0.6,-0.7,+0.8
Terry Durham,NBA,66,173.2,51.5,43.8,210.2,-1.5,-1.9,-0.7,-0.4,.606,86.9,26.8,21.2,106.5,.394,86.3,24.7,22.7,103.8,+.212,+0.5,+2.1,-1.5,+2.7,-.051,+0.3,+0.1,-0.2,-1.8
Hugh Evans,NBA,67,171.1,56.1,46.9,211.8,-3.6,+2.7,+2.4,+1.2,.612,85.6,28.5,23.4,108.0,.388,85.6,27.6,23.5,103.7,+.224,0.0,+0.9,-0.1,+4.3,-.039,-0.2,-1.1,+1.2,-0.2
Nolan Fine,NBA,63,176.0,55.4,45.3,214.6,+1.3,+2.0,+0.8,+4.0,.587,88.6,28.2,21.9,109.0,.413,87.3,27.2,23.4,105.6,+.175,+1.3,+1.0,-1.6,+3.4,-.088,+1.1,-1.0,-0.3,-1.1
Joe Forte,NBA,69,174.9,57.2,45.9,214.9,+0.2,+3.8,+1.4,+4.3,.623,87.5,29.6,22.3,110.7,.377,87.4,27.7,23.6,104.3,+.246,+0.1,+1.9,-1.2,+6.4,-.017,-0.1,-0.1,+0.1,+1.9
Bernie Fryer,NBA,73,176.2,52.0,43.5,210.2,+1.5,-1.4,-1.0,-0.4,.589,88.3,26.7,21.1,106.9,.411,87.8,25.3,22.4,103.3,+.178,+0.5,+1.4,-1.2,+3.5,-.085,+0.3,-0.6,+0.1,-1.0
Darell Garretson,NBA,46,175.3,51.0,43.1,208.2,+0.6,-2.4,-1.4,-2.4,.630,85.6,27.5,20.3,105.7,.370,89.7,23.5,22.7,102.5,+.261,-4.1,+4.0,-2.4,+3.2,-.002,-4.3,+2.0,-1.1,-1.3
Ron Garretson,NBA,65,174.1,50.2,42.0,206.1,-0.6,-3.2,-2.5,-4.5,.708,86.9,27.2,20.0,105.9,.292,87.2,23.0,22.0,100.2,+.415,-0.3,+4.2,-2.0,+5.7,+.152,-0.5,+2.2,-0.7,+1.2
Luis Grillo,NBA,55,172.3,59.2,48.3,216.4,-2.4,+5.8,+3.8,+5.8,.527,86.7,29.8,23.5,108.6,.473,85.6,29.5,24.7,107.8,+.055,+1.1,+0.3,-1.2,+0.8,-.208,+0.9,-1.7,+0.1,-3.7
Hue Hollins,NBA,74,172.4,54.0,44.6,207.5,-2.3,+0.6,+0.1,-3.1,.730,86.3,29.6,20.5,107.6,.270,86.1,24.4,24.2,99.9,+.459,+0.2,+5.2,-3.7,+7.6,+.196,0.0,+3.2,-2.4,+3.1
Steve Javie,NBA,71,175.4,50.2,43.1,209.3,+0.7,-3.2,-1.4,-1.3,.592,87.7,25.9,21.2,107.3,.408,87.7,24.4,21.9,102.0,+.183,0.0,+1.5,-0.7,+5.4,-.080,-0.2,-0.5,+0.6,+0.9
David Jones,NBA,63,173.3,56.3,46.8,210.9,-1.4,+2.9,+2.3,+0.3,.603,86.2,29.3,22.9,108.0,.397,87.0,27.0,23.9,102.9,+.206,-0.8,+2.3,-1.0,+5.1,-.057,-1.0,+0.3,+0.3,+0.6
Lee Jones,NBA,69,175.3,51.2,42.9,209.4,+0.6,-2.2,-1.6,-1.2,.638,87.5,26.3,20.8,106.4,.362,87.9,25.0,22.1,103.0,+.275,-0.4,+1.3,-1.3,+3.4,+.012,-0.6,-0.7,0.0,-1.1
Jess Kersey,NBA,71,174.8,53.7,44.4,209.9,+0.1,+0.3,-0.1,-0.7,.634,88.3,28.6,21.4,107.5,.366,86.5,25.2,23.0,102.4,+.268,+1.8,+3.4,-1.7,+5.2,+.005,+1.6,+1.4,-0.4,+0.7
Jim Kinsey,NBA,56,176.2,55.9,45.1,214.8,+1.5,+2.5,+0.6,+4.2,.696,89.3,29.0,21.4,109.6,.304,86.9,26.9,23.7,105.3,+.393,+2.4,+2.2,-2.4,+4.3,+.130,+2.2,+0.2,-1.1,-0.2
Jack Madden,NBA,10,180.7,55.8,45.8,216.0,+6.0,+2.4,+1.3,+5.4,.600,91.3,30.5,22.1,112.8,.400,89.4,25.3,23.7,103.2,+.200,+1.9,+5.2,-1.6,+9.6,-.063,+1.7,+3.2,-0.3,+5.1
Mike Mathis,NBA,71,173.4,51.9,44.7,208.8,-1.3,-1.5,+0.2,-1.8,.592,86.9,25.8,22.2,105.9,.408,86.5,26.0,22.4,102.9,+.183,+0.5,-0.2,-0.2,+3.1,-.080,+0.3,-2.2,+1.1,-1.4
Ken Mauer,NBA,64,175.0,47.3,40.4,205.9,+0.3,-6.1,-4.1,-4.7,.578,86.8,25.1,19.8,103.9,.422,88.1,22.2,20.7,102.0,+.156,-1.3,+3.0,-0.9,+2.0,-.107,-1.5,+1.0,+0.4,-2.5
Woody Mayfield,NBA,55,173.9,53.8,44.4,211.7,-0.8,+0.4,-0.1,+1.1,.709,87.2,28.5,21.3,107.9,.291,86.7,25.3,23.1,103.8,+.418,+0.6,+3.2,-1.9,+4.1,+.155,+0.4,+1.2,-0.6,-0.4
Ed Middleton,NBA,65,173.0,58.0,46.7,215.2,-1.7,+4.6,+2.2,+4.6,.631,86.3,30.2,22.6,109.6,.369,86.7,27.8,24.0,105.5,+.262,-0.4,+2.4,-1.4,+4.1,-.001,-0.6,+0.4,-0.1,-0.4
