PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Al Horford,ATL,30,866,1518,57,228,608,37.5,482,1263,38.2,69,174,39.7,61,158,38.6,323,992,32.6
Al Jefferson,CHA,31,365,603,60.5,114,275,41.5,212,528,40.2,32,74,43.2,24,64,37.5,115,384,29.9
Alan Williams,PHX,23,31,52,59.6,7,14,50,13,27,48.1,3,7,42.9,0,3,0,9,25,36
Alex Len,PHX,23,622,1010,61.6,182,469,38.8,307,792,38.8,53,140,37.9,45,109,41.3,255,697,36.6
Alexis Ajinca,NOP,28,260,435,59.8,81,206,39.3,148,374,39.6,24,52,46.2,17,46,37,121,339,35.7
Amar'e Stoudemire,MIA,33,259,434,59.7,80,211,37.9,147,360,40.8,18,44,40.9,11,38,28.9,83,243,34.2
Andre Drummond,DET,22,902,1445,62.4,338,791,42.7,534,1316,40.6,36,102,35.3,55,124,44.4,275,850,32.4
Andrea Bargnani,BKN,30,251,384,65.4,67,152,44.1,107,232,46.1,19,41,46.3,15,33,45.5,86,254,33.9
Andrew Bogut,GSW,31,438,790,55.4,177,464,38.1,296,752,39.4,27,76,35.5,25,68,36.8,175,547,32
Anthony Davis,NOP,23,745,1183,63,222,525,42.3,393,974,40.3,32,102,31.4,49,110,44.5,321,875,36.7
Aron Baynes,DET,29,411,687,59.8,134,341,39.3,216,542,39.9,18,52,34.6,23,54,42.6,168,434,38.7
Bismack Biyombo,TOR,23,524,964,54.4,196,507,38.7,258,714,36.1,50,110,45.5,53,116,45.7,237,702,33.8
Boban Marjanovic,SAS,27,149,258,57.8,57,124,46,91,218,41.7,7,25,28,12,35,34.3,64,176,36.4
Boris Diaw,SAS,34,470,796,59,160,373,42.9,232,623,37.2,25,77,32.5,24,86,27.9,139,423,32.9
Brook Lopez,BKN,28,905,1459,62,245,590,41.5,386,992,38.9,72,168,42.9,62,170,36.5,338,923,36.6
Cameron Bairstow,DET,25,23,54,42.6,7,24,29.2,20,43,46.5,2,7,28.6,2,4,50,18,54,33.3
Charles Hayes,LAC,33,11,18,61.1,4,8,50,2,11,18.2,1,2,50,0,2,0,1,8,12.5
Chris Andersen,MEM,37,133,210,63.3,35,81,43.2,61,144,42.4,9,31,29,10,23,43.5,72,164,43.9
Chris Kaman,POR,34,22,44,50,18,31,58.1,32,71,45.1,0,5,0,1,8,12.5,17,40,42.5
Clint Capela,HOU,22,517,865,59.8,141,359,39.3,200,517,38.7,51,134,38.1,59,142,41.5,179,534,33.5
Cody Zeller,CHA,23,569,965,59,139,394,35.3,338,780,43.3,45,135,33.3,39,110,35.5,263,706,37.3
Cole Aldrich,LAC,27,270,463,58.3,78,197,39.6,124,295,42,21,54,38.9,16,52,30.8,82,279,29.4
Cristiano Felicio,CHI,23,102,185,55.1,27,68,39.7,34,119,28.6,11,25,44,6,12,50,45,122,36.9
David Lee,DAL,33,305,474,64.3,78,222,35.1,142,383,37.1,29,79,36.7,18,64,28.1,127,345,36.8
DeAndre Jordan,LAC,27,821,1381,59.4,260,700,37.1,473,1269,37.3,36,147,24.5,49,135,36.3,344,953,36.1
DeJuan Blair,WAS,27,77,120,64.2,27,58,46.6,40,95,42.1,7,16,43.8,6,13,46.2,23,70,32.9
DeMarcus Cousins,SAC,25,724,1153,62.8,268,636,42.1,404,1010,40,67,191,35.1,71,194,36.6,351,941,37.3
Derrick Favors,UTA,24,616,1043,59.1,198,489,40.5,341,812,42,53,129,41.1,46,122,37.7,221,626,35.3
Dewayne Dedmon,ORL,26,280,464,60.3,58,155,37.4,90,244,36.9,18,56,32.1,15,46,32.6,94,269,34.9
Donatas Motiejunas,HOU,25,233,333,70,42,143,29.4,59,194,30.4,14,57,24.6,20,46,43.5,81,223,36.3
Dwight Howard,HOU,30,779,1236,63,233,574,40.6,359,925,38.8,68,199,34.2,74,176,42,323,896,36
Dwight Powell,DAL,24,349,542,64.4,88,247,35.6,159,393,40.5,20,55,36.4,17,71,23.9,123,380,32.4
Ed Davis,POR,27,497,900,55.2,162,419,38.7,317,811,39.1,40,113,35.4,29,88,33,239,608,39.3
Edy Tavares,ATL,24,23,37,62.2,10,19,52.6,18,43,41.9,1,5,20,6,10,60,10,22,45.5
Enes Kanter,OKC,24,651,1084,60.1,181,467,38.8,274,704,38.9,44,114,38.6,42,92,45.7,201,606,33.2
Eric Moreland,SAC,24,16,26,61.5,3,18,16.7,5,12,41.7,1,2,50,1,2,50,9,27,33.3
Festus Ezeli,GSW,26,253,410,61.7,111,307,36.2,145,380,38.2,8,31,25.8,9,30,30,88,254,34.6
Frank Kaminsky,CHA,23,534,914,58.4,161,427,37.7,309,766,40.3,45,117,38.5,31,109,28.4,224,639,35.1
Gorgui Dieng,MIN,26,827,1318,62.7,204,515,39.6,351,867,40.5,66,157,42,48,162,29.6,304,818,37.2
Greg Monroe,MIL,26,869,1430,60.8,206,483,42.7,310,761,40.7,82,195,42.1,66,172,38.4,304,872,34.9
Greg Smith,MIN,25,84,120,70,21,41,51.2,26,64,40.6,4,12,33.3,7,21,33.3,27,74,36.5
Hassan Whiteside,MIA,27,646,1159,55.7,297,704,42.2,406,1032,39.3,50,129,38.8,52,122,42.6,211,624,33.8
Henry Sims,BKN,26,132,186,71,29,55,52.7,33,83,39.8,11,26,42.3,7,18,38.9,38,113,33.6
Ian Mahinmi,IND,29,572,980,58.4,165,378,43.7,331,858,38.6,47,129,36.4,56,142,39.4,224,683,32.8
JJ Hickson,WAS,27,160,267,59.9,33,105,31.4,71,179,39.7,10,26,38.5,9,38,23.7,62,164,37.8
JaVale McGee,DAL,28,115,195,59,38,98,38.8,78,175,44.6,15,36,41.7,7,26,26.9,41,128,32
Jahlil Okafor,PHI,20,574,942,60.9,175,455,38.5,319,735,43.4,29,71,40.8,39,81,48.1,187,526,35.6
Jared Sullinger,BOS,24,636,1071,59.4,215,541,39.7,341,852,40,52,132,39.4,38,117,32.5,223,649,34.4
Jarnell Stokes,MEM,22,6,15,40,0,1,0,2,4,50,0,1,0,0,0,0,2,7,28.6
Jason Smith,ORL,30,411,669,61.4,106,266,39.8,177,418,42.3,29,77,37.7,30,79,38,172,483,35.6
