PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,0,1,0,0,1,0,1,1,100,-,-,-,0,0,0,0,0,0
Aaron Brooks,IND,32,4,8,50,1,4,25,4,10,40,1,1,100,0,0,0,2,7,28.6
Aaron Gordon,ORL,21,10,17,58.8,3,7,42.9,5,19,26.3,0,2,0,3,8,37.5,5,19,26.3
Aaron Harrison,CHA,22,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-
Adreian Payne,MIN,25,2,3,66.7,1,1,100,0,1,0,0,0,0,0,0,0,0,2,0
Al Horford,BOS,30,7,9,77.8,1,4,25,6,11,54.5,0,0,0,1,3,33.3,7,21,33.3
Al Jefferson,IND,32,12,15,80,3,4,75,6,12,50,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,POR,26,4,8,50,3,4,75,3,4,75,1,2,50,1,3,33.3,1,7,14.3
Alan Anderson,LAC,34,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Alan Williams,PHX,24,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,25,0,3,0,1,1,100,0,1,0,2,2,100,0,0,0,0,1,0
Alex Abrines,OKC,23,1,1,100,1,1,100,3,5,60,2,5,40,2,5,40,3,16,18.8
Alex Len,PHX,23,14,24,58.3,1,5,20,4,8,50,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,3,4,75,3,4,75,4,13,30.8,0,0,0,0,0,0,0,1,0
Allen Crabbe,POR,24,2,3,66.7,3,5,60,5,18,27.8,3,5,60,3,6,50,8,20,40
Alonzo Gee,DEN,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amir Johnson,BOS,29,11,19,57.9,3,5,60,0,1,0,0,0,0,0,0,0,1,3,33.3
Anderson Varejao,GSW,34,0,1,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
Andre Drummond,DET,23,21,27,77.8,16,45,35.6,2,6,33.3,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,33,8,12,66.7,0,0,0,1,2,50,2,4,50,3,5,60,2,6,33.3
Andre Roberson,OKC,25,11,12,91.7,0,1,0,0,0,0,1,4,25,1,2,50,4,11,36.4
Andrew Bogut,DAL,32,0,0,0,2,4,50,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,10,20,50,2,5,40,3,7,42.9,0,0,0,0,0,0,4,12,33.3
Andrew Nicholson,WAS,27,2,2,100,1,3,33.3,0,0,0,0,0,0,0,1,0,0,2,0
Andrew Wiggins,MIN,21,16,30,53.3,4,12,33.3,27,60,45,1,1,100,0,0,0,12,25,48
Anthony Bennett,BKN,23,6,7,85.7,0,0,0,0,1,0,0,0,0,0,2,0,4,8,50
Anthony Brown,ORL,24,0,0,0,0,0,0,0,2,0,0,0,0,1,1,100,0,3,0
Anthony Davis,NOP,23,46,63,73,11,32,34.4,41,78,52.6,0,0,0,0,0,0,8,23,34.8
Anthony Morrow,OKC,31,0,1,0,3,5,60,3,7,42.9,2,2,100,1,1,100,3,10,30
Anthony Tolliver,SAC,31,3,5,60,0,2,0,1,2,50,0,1,0,3,4,75,9,20,45
Archie Goodwin,NOP,22,0,0,0,1,1,100,0,0,0,0,0,0,-,-,-,0,0,0
Arinze Onuaku,ORL,29,0,0,0,1,1,100,0,0,0,0,0,0,-,-,-,0,0,0
Aron Baynes,DET,30,8,13,61.5,1,2,50,2,6,33.3,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,2,3,66.7,3,3,100,3,10,30,1,1,100,1,1,100,0,5,0
Austin Rivers,LAC,24,14,25,56,6,15,40,2,5,40,0,2,0,2,4,50,6,18,33.3
Avery Bradley,BOS,26,10,18,55.6,1,4,25,11,23,47.8,3,5,60,1,2,50,8,19,42.1
Ben McLemore,SAC,23,1,1,100,0,2,0,1,4,25,1,1,100,0,0,0,4,7,57.1
Beno Udrih,DET,34,4,7,57.1,3,7,42.9,10,18,55.6,0,0,0,0,0,0,2,3,66.7
Bismack Biyombo,ORL,24,16,19,84.2,4,7,57.1,0,1,0,0,0,0,0,0,0,0,0,0
