PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
AJ Hammons,DAL,24,0,3,0,0,1,0,1,2,50,0,1,0,0,0,0,4,5,80
Aaron Brooks,IND,32,10,17,58.8,7,15,46.7,12,20,60,2,2,100,1,3,33.3,12,34,35.3
Aaron Gordon,ORL,21,31,47,66,4,18,22.2,21,69,30.4,3,13,23.1,1,5,20,20,58,34.5
Aaron Harrison,CHA,22,0,0,0,0,0,0,0,1,0,-,-,-,0,0,0,0,1,0
Adreian Payne,MIN,25,2,6,33.3,0,1,0,3,3,100,0,1,0,0,0,0,2,5,40
Al Horford,BOS,30,43,61,70.5,18,43,41.9,28,62,45.2,0,2,0,4,7,57.1,31,91,34.1
Al Jefferson,IND,32,42,58,72.4,38,84,45.2,22,64,34.4,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,POR,26,13,23,56.5,4,18,22.2,4,10,40,1,10,10,6,11,54.5,6,37,16.2
Alan Anderson,LAC,34,6,9,66.7,1,3,33.3,2,8,25,0,2,0,2,4,50,5,10,50
Alan Williams,PHX,24,2,4,50,1,6,16.7,1,1,100,0,0,0,0,0,0,0,0,0
Alec Burks,UTA,25,3,6,50,4,4,100,4,7,57.1,1,1,100,1,1,100,1,1,100
Alex Abrines,OKC,23,3,6,50,2,7,28.6,4,10,40,2,5,40,2,4,50,18,46,39.1
Alex Len,PHX,23,35,61,57.4,10,20,50,6,24,25,0,0,0,0,0,0,0,0,0
Alexis Ajinca,NOP,28,11,16,68.8,3,9,33.3,7,18,38.9,0,0,0,0,0,0,0,2,0
Allen Crabbe,POR,24,16,28,57.1,11,27,40.7,35,71,49.3,4,13,30.8,4,10,40,30,58,51.7
Alonzo Gee,DEN,29,2,3,66.7,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
Amir Johnson,BOS,29,39,53,73.6,11,27,40.7,0,3,0,0,1,0,1,4,25,3,13,23.1
Anderson Varejao,GSW,34,1,4,25,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0
Andre Drummond,DET,23,67,111,60.4,35,88,39.8,7,24,29.2,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,33,15,18,83.3,0,3,0,11,20,55,3,15,20,2,8,25,11,27,40.7
Andre Roberson,OKC,25,27,40,67.5,0,6,0,2,3,66.7,5,20,25,5,17,29.4,7,30,23.3
Andrew Bogut,DAL,32,10,16,62.5,4,17,23.5,0,1,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,MEM,22,17,37,45.9,2,10,20,5,21,23.8,5,8,62.5,1,3,33.3,6,37,16.2
Andrew Nicholson,WAS,27,6,10,60,5,15,33.3,4,9,44.4,0,1,0,0,1,0,3,7,42.9
Andrew Wiggins,MIN,21,63,114,55.3,24,63,38.1,69,177,39,2,8,25,0,1,0,20,67,29.9
Anthony Bennett,BKN,23,5,10,50,0,2,0,0,1,0,3,6,50,0,6,0,4,14,28.6
Anthony Brown,ORL,24,2,3,66.7,0,1,0,1,4,25,0,2,0,0,0,0,3,8,37.5
Anthony Davis,NOP,23,63,92,68.5,51,98,52,74,173,42.8,0,2,0,0,1,0,8,28,28.6
Anthony Morrow,OKC,31,3,5,60,12,19,63.2,9,19,47.4,1,3,33.3,0,7,0,7,18,38.9
Anthony Tolliver,SAC,31,4,9,44.4,3,5,60,7,13,53.8,3,10,30,4,8,50,17,42,40.5
Archie Goodwin,NOP,22,0,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,1,0
Arinze Onuaku,ORL,29,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,0,0,0
Aron Baynes,DET,30,11,26,42.3,7,19,36.8,8,18,44.4,0,0,0,0,0,0,0,0,0
Arron Afflalo,SAC,31,4,14,28.6,12,21,57.1,21,42,50,7,13,53.8,5,11,45.5,10,25,40
Austin Rivers,LAC,24,43,85,50.6,18,43,41.9,8,18,44.4,5,10,50,3,10,30,35,74,47.3
Avery Bradley,BOS,26,40,61,65.6,10,26,38.5,44,86,51.2,4,14,28.6,4,8,50,21,59,35.6
Ben McLemore,SAC,23,7,12,58.3,1,9,11.1,10,27,37,1,4,25,1,8,12.5,3,19,15.8
Beno Udrih,DET,34,7,12,58.3,3,9,33.3,11,25,44,0,0,0,3,4,75,2,7,28.6
Bismack Biyombo,ORL,24,34,51,66.7,11,26,42.3,3,9,33.3,0,0,0,0,0,0,0,0,0
Blake Griffin,LAC,27,46,74,62.2,10,31,32.3,47,110,42.7,0,3,0,0,2,0,1,3,33.3
Boban Marjanovic,DET,28,6,8,75,6,17,35.3,3,11,27.3,0,0,0,0,0,0,0,0,0
Bobby Brown,HOU,32,0,0,0,1,1,100,1,3,33.3,0,0,0,0,0,0,2,6,33.3
Bobby Portis,CHI,21,9,18,50,2,6,33.3,7,20,35,0,3,0,3,3,100,4,8,50
Bojan Bogdanovic,BKN,27,35,66,53,11,22,50,12,32,37.5,9,14,64.3,6,10,60,28,77,36.4
Boris Diaw,UTA,34,22,32,68.8,4,10,40,3,10,30,4,6,66.7,0,3,0,3,13,23.1
Bradley Beal,WAS,23,30,67,44.8,17,37,45.9,40,77,51.9,2,5,40,2,8,25,32,97,33
Brandon Bass,LAC,31,18,26,69.2,4,8,50,10,26,38.5,0,0,0,0,0,0,0,0,0
Brandon Ingram,LAL,19,22,46,47.8,10,34,29.4,22,58,37.9,4,9,44.4,2,8,25,10,33,30.3
Brandon Jennings,NYK,27,10,24,41.7,2,11,18.2,17,35,48.6,5,6,83.3,1,5,20,15,47,31.9
Brandon Knight,PHX,25,19,44,43.2,12,27,44.4,24,71,33.8,1,6,16.7,0,3,0,16,38,42.1
Brandon Rush,MIN,31,0,0,0,1,3,33.3,2,5,40,5,7,71.4,3,5,60,0,3,0
Brian Roberts,CHA,31,0,1,0,0,2,0,1,1,100,0,0,0,0,0,0,0,0,0
Brook Lopez,BKN,28,55,86,64,55,120,45.8,19,39,48.7,8,16,50,5,9,55.6,21,73,28.8
Bruno Caboclo,TOR,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,100
Bryn Forbes,SAS,23,0,1,0,0,0,0,2,6,33.3,0,0,0,0,0,0,2,6,33.3
Buddy Hield,NOP,23,17,28,60.7,4,14,28.6,10,26,38.5,2,4,50,1,3,33.3,31,75,41.3
CJ McCollum,POR,25,39,73,53.4,30,63,47.6,85,159,53.5,5,11,45.5,7,12,58.3,44,111,39.6
CJ Miles,IND,29,12,20,60,5,19,26.3,11,33,33.3,6,16,37.5,7,14,50,27,68,39.7
CJ Watson,ORL,32,4,10,40,3,4,75,8,20,40,1,4,25,0,1,0,4,15,26.7
CJ Wilcox,ORL,26,0,0,0,0,0,0,1,2,50,0,2,0,0,0,0,0,0,0
Cameron Payne,OKC,22,1,3,33.3,2,4,50,4,10,40,0,0,0,2,2,100,4,10,40
Caris LeVert,BKN,22,8,10,80,2,4,50,3,6,50,0,0,0,2,5,40,8,24,33.3
