Year,Team,Player,
2011,CLE,Kyrie Irving,
2010,WAS,John Wall,
2009,LAL,Blake Griffin,
2008,CHI,Derrick Rose,
2007,POR,Greg Oden,
2006,TOR,Andrea Bargnani,
2005,MIL,Andrew Bogut,
2004,ORL,Dwight Howard,
2003,CLE,LeBron James,
2002,HOU,Yao Ming,
2001,WAS,Kwame Brown,
2000,BRK,Kenyon Martin,
1999,CHI,Elton Brand,
1998,LAL,Michael Olowokandi,
1997,SAS,Tim Duncan,
1996,PHI,Allen Iverson,
1995,GSW,Joe Smith,
1994,MIL,Glenn Robinson,
1993,ORL,Chris Webber,
1992,ORL,Shaquille O'Neal,
1991,CHA,Larry Johnson,
1990,BRK,Derrick Coleman,
